shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,22,22,20006,12
Apartment,22,32,32,30010,18
AquaticAnimal,27,21,21,26683,16
Bed,36,30,30,36688,22
Bicycle,52,8,8,33372,20
Biplane,55,50,50,58365,35
Bird,51,45,45,53363,32
Bottle,32,31,31,35018,21
BuildingNonResidential,40,53,53,51686,31
Bus,13,23,23,20005,12
Car,140,64,64,113428,68
Cellphone,19,14,14,18345,11
Chess,95,25,25,66735,40
City,19,17,17,20011,12
ClassicPiano,6,12,12,10002,6
Computer,38,22,22,33358,20
ComputerKeyboard,7,5,5,6671,4
Cup,46,35,35,45028,27
DeskLamp,37,29,29,36689,22
DeskPhone,24,33,33,31678,19
Door,72,24,24,53384,32
Drum,5,10,10,8335,5
Fish,1,2,2,1667,1
FloorLamp,31,41,41,40015,24
Glasses,40,5,5,25030,15
Guitar,16,26,26,23340,14
Gun,65,67,67,73369,44
Hand,82,29,29,61724,37
Hat,15,18,18,18341,11
Helicopter,77,31,31,60053,36
House,32,37,37,38350,23
HumanHead,59,19,19,43375,26
Humanoid,229,86,86,175159,105
Insect,78,75,75,85044,51
Jet,190,92,92,156794,94
Knife,7,14,14,11669,7
MilitaryVehicle,22,23,23,25012,15
Monitor,17,22,22,21675,13
Monoplane,21,27,27,26677,16
Motorcycle,42,24,24,36694,22
Mug,27,33,33,33347,20
MultiSeat,61,62,62,68367,41
Musical_Instrument,17,28,28,25007,15
NonWheelChair,80,55,55,75050,45
PianoBoard,3,6,6,5001,3
PlantIndoors,73,62,62,75043,45
PlantWildNonTree,16,32,32,26672,16
Quadruped,73,50,50,68379,41
RectangleTable,81,54,54,75051,45
Rocket,19,26,26,25009,15
RoundTable,47,34,34,45029,27
Shelf,43,38,38,45025,27
Ship,61,59,59,66701,40
Sign,11,19,19,16671,10
Skyscraper,20,34,34,30008,18
Spoon,2,4,4,3334,2
Starship,26,40,40,36678,22
SubmachineGun,14,19,19,18340,11
Sword,100,23,23,68406,41
Tool,78,39,39,65052,39
Train,25,29,29,30013,18
Tree,25,32,32,31679,19
Truck,15,30,30,25005,15
TruckNonContainer,12,18,18,16672,10
Vase,22,29,29,28344,17
Violin,4,8,8,6668,4
Wheel,21,24,24,25011,15
WheelChair,15,21,21,20007,12
total,2865,2151,2151,2788417,1672
