shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,12,0,0,20052,12
Apartment,18,0,0,30078,18
AquaticAnimal,16,0,0,26736,16
Bed,22,0,0,36762,22
Bicycle,20,0,0,33420,20
Biplane,35,0,0,58485,35
Bird,32,0,0,53472,32
Bottle,21,0,0,35091,21
BuildingNonResidential,31,0,0,51801,31
Bus,12,0,0,20052,12
Car,68,0,0,113628,68
Cellphone,11,0,0,18381,11
Chess,40,0,0,66840,40
City,12,0,0,20052,12
ClassicPiano,6,0,0,10026,6
Computer,20,0,0,33420,20
ComputerKeyboard,4,0,0,6684,4
Cup,27,0,0,45117,27
DeskLamp,22,0,0,36762,22
DeskPhone,19,0,0,31749,19
Door,32,0,0,53472,32
Drum,5,0,0,8355,5
Fish,1,0,0,1671,1
FloorLamp,24,0,0,40104,24
Glasses,15,0,0,25065,15
Guitar,14,0,0,23394,14
Gun,44,0,0,73524,44
Hand,37,0,0,61827,37
Hat,11,0,0,18381,11
Helicopter,36,0,0,60156,36
House,23,0,0,38433,23
HumanHead,26,0,0,43446,26
Humanoid,105,0,0,175455,105
Insect,51,0,0,85221,51
Jet,94,0,0,157074,94
Knife,7,0,0,11697,7
MilitaryVehicle,15,0,0,25065,15
Monitor,13,0,0,21723,13
Monoplane,16,0,0,26736,16
Motorcycle,22,0,0,36762,22
Mug,20,0,0,33420,20
MultiSeat,41,0,0,68511,41
Musical_Instrument,15,0,0,25065,15
NonWheelChair,45,0,0,75195,45
PianoBoard,3,0,0,5013,3
PlantIndoors,45,0,0,75195,45
PlantWildNonTree,16,0,0,26736,16
Quadruped,41,0,0,68511,41
RectangleTable,45,0,0,75195,45
Rocket,15,0,0,25065,15
RoundTable,27,0,0,45117,27
Shelf,27,0,0,45117,27
Ship,40,0,0,66840,40
Sign,10,0,0,16710,10
Skyscraper,18,0,0,30078,18
Spoon,2,0,0,3342,2
Starship,22,0,0,36762,22
SubmachineGun,11,0,0,18381,11
Sword,41,0,0,68511,41
Tool,39,0,0,65169,39
Train,18,0,0,30078,18
Tree,19,0,0,31749,19
Truck,15,0,0,25065,15
TruckNonContainer,10,0,0,16710,10
Vase,17,0,0,28407,17
Violin,4,0,0,6684,4
Wheel,15,0,0,25065,15
WheelChair,12,0,0,20052,12
total,1672,0,0,2793912,1672
