shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,15,69,69,19911,12
Apartment,22,104,104,29866,18
AquaticAnimal,36,76,76,26564,16
Bed,63,91,91,36539,22
Bicycle,105,35,35,33265,20
Biplane,88,157,157,58118,35
Bird,70,154,154,53126,32
Bottle,43,104,104,34861,21
BuildingNonResidential,47,170,170,51445,31
Bus,17,67,67,19913,12
Car,248,228,228,112992,68
Cellphone,25,52,52,18263,11
Chess,169,111,111,66489,40
City,22,62,62,19918,12
ClassicPiano,6,36,36,9954,6
Computer,42,98,98,33202,20
ComputerKeyboard,7,21,21,6639,4
Cup,63,126,126,44829,27
DeskLamp,50,104,104,36526,22
DeskPhone,31,102,102,31533,19
Door,99,125,125,53155,32
Drum,5,30,30,8295,5
Fish,1,6,6,1659,1
FloorLamp,35,133,133,39827,24
Glasses,79,26,26,24949,15
Guitar,22,76,76,23234,14
Gun,95,213,213,73047,44
Hand,136,123,123,61482,37
Hat,23,54,54,18261,11
Helicopter,121,131,131,59809,36
House,35,126,126,38169,23
HumanHead,118,64,64,43226,26
Humanoid,432,303,303,174522,105
Insect,108,249,249,84666,51
Jet,371,287,287,156223,94
Knife,7,42,42,11613,7
MilitaryVehicle,29,76,76,24899,15
Monitor,20,71,71,21574,13
Monoplane,29,83,83,26557,16
Motorcycle,65,89,89,36541,22
Mug,35,105,105,33195,20
MultiSeat,87,200,200,68065,41
Musical_Instrument,22,83,83,24892,15
NonWheelChair,147,168,168,74757,45
PianoBoard,3,18,18,4977,3
PlantIndoors,114,201,201,74724,45
PlantWildNonTree,19,93,93,26547,16
Quadruped,114,173,173,68092,41
RectangleTable,124,191,191,74734,45
Rocket,21,84,84,24891,15
RoundTable,62,127,127,44828,27
Shelf,56,133,133,44822,27
Ship,86,194,194,66406,40
Sign,11,59,59,16591,10
Skyscraper,20,106,106,29864,18
Spoon,2,12,12,3318,2
Starship,28,126,126,36504,22
SubmachineGun,22,55,55,18260,11
Sword,191,96,96,68169,41
Tool,144,129,129,64806,39
Train,28,98,98,29872,18
Tree,37,96,96,31539,19
Truck,17,88,88,24887,15
TruckNonContainer,13,57,57,16593,10
Vase,26,93,93,28212,17
Violin,4,24,24,6636,4
Wheel,26,79,79,24896,15
WheelChair,19,65,65,19915,12
total,4477,7227,7227,2776653,1672
