shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.25,0.25,0.9955,0.99775,0.25
Apartment,0.244,0.244,0.9955,0.997734,0.244444
AquaticAnimal,0.388,0.388,0.9963,0.998163,0.3875
Bed,0.482,0.482,0.9969,0.998446,0.481818
Bicycle,0.81,0.81,0.9989,0.99943,0.81
Biplane,0.429,0.429,0.9966,0.998286,0.428571
Bird,0.381,0.381,0.9963,0.998144,0.38125
Bottle,0.371,0.371,0.9962,0.998115,0.371429
BuildingNonResidential,0.284,0.284,0.9957,0.997852,0.283871
Bus,0.25,0.25,0.9955,0.99775,0.25
Car,0.568,0.568,0.9974,0.998703,0.567647
Cellphone,0.4,0.4,0.9964,0.9982,0.4
Chess,0.675,0.675,0.9981,0.999025,0.675
City,0.333,0.333,0.996,0.998,0.333333
ClassicPiano,0.2,0.2,0.9952,0.9976,0.2
Computer,0.4,0.4,0.9964,0.9982,0.4
ComputerKeyboard,0.35,0.35,0.9961,0.99805,0.35
Cup,0.407,0.407,0.9965,0.998223,0.407407
DeskLamp,0.418,0.418,0.9965,0.998255,0.418182
DeskPhone,0.295,0.295,0.9958,0.997885,0.294737
Door,0.544,0.544,0.9973,0.998632,0.54375
Drum,0.2,0.2,0.9952,0.9976,0.2
Fish,0.2,0.2,0.9952,0.9976,0.2
FloorLamp,0.283,0.283,0.9957,0.99785,0.283333
Glasses,0.787,0.787,0.9987,0.99936,0.786667
Guitar,0.271,0.271,0.9956,0.997815,0.271429
Gun,0.373,0.373,0.9962,0.998119,0.372727
Hand,0.611,0.611,0.9977,0.998833,0.610811
Hat,0.345,0.345,0.9961,0.998037,0.345455
Helicopter,0.556,0.556,0.9973,0.998667,0.555556
House,0.287,0.287,0.9957,0.997861,0.286957
HumanHead,0.723,0.723,0.9983,0.999169,0.723077
Humanoid,0.64,0.64,0.9978,0.99892,0.64
Insect,0.373,0.373,0.9962,0.998118,0.372549
Jet,0.617,0.617,0.9977,0.998851,0.617021
Knife,0.2,0.2,0.9952,0.9976,0.2
MilitaryVehicle,0.36,0.36,0.9962,0.99808,0.36
Monitor,0.277,0.277,0.9957,0.997831,0.276923
Monoplane,0.3,0.3,0.9958,0.9979,0.3
Motorcycle,0.527,0.527,0.9972,0.998582,0.527273
Mug,0.33,0.33,0.996,0.99799,0.33
MultiSeat,0.376,0.376,0.9963,0.998127,0.37561
Musical_Instrument,0.28,0.28,0.9957,0.99784,0.28
NonWheelChair,0.507,0.507,0.997,0.99852,0.506667
PianoBoard,0.2,0.2,0.9952,0.9976,0.2
PlantIndoors,0.418,0.418,0.9965,0.998254,0.417778
PlantWildNonTree,0.212,0.212,0.9953,0.997638,0.2125
Quadruped,0.459,0.459,0.9968,0.998376,0.458537
RectangleTable,0.467,0.467,0.9968,0.9984,0.466667
Rocket,0.28,0.28,0.9957,0.99784,0.28
RoundTable,0.422,0.422,0.9965,0.998267,0.422222
Shelf,0.393,0.393,0.9964,0.998178,0.392593
Ship,0.38,0.38,0.9963,0.99814,0.38
Sign,0.22,0.22,0.9953,0.99766,0.22
Skyscraper,0.222,0.222,0.9953,0.997667,0.222222
Spoon,0.2,0.2,0.9952,0.9976,0.2
Starship,0.245,0.245,0.9955,0.997737,0.245455
SubmachineGun,0.327,0.327,0.996,0.997982,0.327273
Sword,0.712,0.712,0.9983,0.999137,0.712195
Tool,0.564,0.564,0.9974,0.998693,0.564103
Train,0.311,0.311,0.9959,0.997934,0.311111
Tree,0.337,0.337,0.996,0.998011,0.336842
Truck,0.213,0.213,0.9953,0.99764,0.213333
TruckNonContainer,0.24,0.24,0.9955,0.99772,0.24
Vase,0.294,0.294,0.9958,0.997883,0.294118
Violin,0.2,0.2,0.9952,0.9976,0.2
Wheel,0.333,0.333,0.996,0.998,0.333333
WheelChair,0.283,0.283,0.9957,0.99785,0.283333
total,0.448,0.448,0.9967,0.998345,0.448206
