shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.292,0.292,0.9966,0.998301,0.291667
Apartment,0.306,0.306,0.9967,0.998335,0.305556
AquaticAnimal,0.453,0.453,0.9974,0.998689,0.453125
Bed,0.523,0.523,0.9977,0.998855,0.522727
Bicycle,0.825,0.825,0.9992,0.99958,0.825
Biplane,0.45,0.45,0.9974,0.998681,0.45
Bird,0.453,0.453,0.9974,0.998689,0.453125
Bottle,0.405,0.405,0.9972,0.998573,0.404762
BuildingNonResidential,0.347,0.347,0.9969,0.998434,0.346774
Bus,0.292,0.292,0.9966,0.998301,0.291667
Car,0.618,0.618,0.9982,0.999083,0.617647
Cellphone,0.455,0.455,0.9974,0.998692,0.454545
Chess,0.731,0.731,0.9987,0.999356,0.73125
City,0.417,0.417,0.9972,0.998601,0.416667
ClassicPiano,0.25,0.25,0.9964,0.998201,0.25
Computer,0.487,0.487,0.9975,0.998771,0.4875
ComputerKeyboard,0.438,0.438,0.9973,0.998651,0.4375
Cup,0.444,0.444,0.9973,0.998668,0.444444
DeskLamp,0.477,0.477,0.9975,0.998746,0.477273
DeskPhone,0.329,0.329,0.9968,0.998391,0.328947
Door,0.633,0.633,0.9982,0.999119,0.632812
Drum,0.25,0.25,0.9964,0.998201,0.25
Fish,0.25,0.25,0.9964,0.998201,0.25
FloorLamp,0.354,0.354,0.9969,0.998451,0.354167
Glasses,0.8,0.8,0.999,0.99952,0.8
Guitar,0.286,0.286,0.9966,0.998287,0.285714
Gun,0.438,0.438,0.9973,0.998651,0.4375
Hand,0.662,0.662,0.9984,0.99919,0.662162
Hat,0.386,0.386,0.9971,0.998528,0.386364
Helicopter,0.604,0.604,0.9981,0.999051,0.604167
House,0.359,0.359,0.9969,0.998462,0.358696
HumanHead,0.731,0.731,0.9987,0.999354,0.730769
Humanoid,0.671,0.671,0.9984,0.999212,0.671429
Insect,0.426,0.426,0.9973,0.998625,0.426471
Jet,0.644,0.644,0.9983,0.999145,0.643617
Knife,0.25,0.25,0.9964,0.998201,0.25
MilitaryVehicle,0.4,0.4,0.9971,0.998561,0.4
Monitor,0.327,0.327,0.9968,0.998386,0.326923
Monoplane,0.359,0.359,0.9969,0.998464,0.359375
Motorcycle,0.568,0.568,0.9979,0.998964,0.568182
Mug,0.362,0.362,0.9969,0.998471,0.3625
MultiSeat,0.433,0.433,0.9973,0.99864,0.432927
Musical_Instrument,0.317,0.317,0.9967,0.998361,0.316667
NonWheelChair,0.567,0.567,0.9979,0.998961,0.566667
PianoBoard,0.25,0.25,0.9964,0.998201,0.25
PlantIndoors,0.478,0.478,0.9975,0.998748,0.477778
PlantWildNonTree,0.266,0.266,0.9965,0.998239,0.265625
Quadruped,0.512,0.512,0.9977,0.99883,0.512195
RectangleTable,0.533,0.533,0.9978,0.998881,0.533333
Rocket,0.333,0.333,0.9968,0.998401,0.333333
RoundTable,0.481,0.481,0.9975,0.998757,0.481481
Shelf,0.426,0.426,0.9973,0.998623,0.425926
Ship,0.419,0.419,0.9972,0.998606,0.41875
Sign,0.275,0.275,0.9965,0.998261,0.275
Skyscraper,0.278,0.278,0.9965,0.998268,0.277778
Spoon,0.25,0.25,0.9964,0.998201,0.25
Starship,0.307,0.307,0.9967,0.998338,0.306818
SubmachineGun,0.364,0.364,0.997,0.998474,0.363636
Sword,0.744,0.744,0.9988,0.999386,0.743902
Tool,0.603,0.603,0.9981,0.999047,0.602564
Train,0.375,0.375,0.997,0.998501,0.375
Tree,0.368,0.368,0.997,0.998485,0.368421
Truck,0.25,0.25,0.9964,0.998201,0.25
TruckNonContainer,0.3,0.3,0.9967,0.998321,0.3
Vase,0.324,0.324,0.9968,0.998378,0.323529
Violin,0.25,0.25,0.9964,0.998201,0.25
Wheel,0.4,0.4,0.9971,0.998561,0.4
WheelChair,0.354,0.354,0.9969,0.998451,0.354167
total,0.496,0.496,0.9976,0.998792,0.496262
