shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.179,0.179,0.9931,0.996547,0.178571
Apartment,0.175,0.175,0.9931,0.99653,0.174603
AquaticAnimal,0.321,0.321,0.9943,0.997147,0.321429
Bed,0.409,0.409,0.9951,0.997516,0.409091
Bicycle,0.75,0.75,0.9979,0.998949,0.75
Biplane,0.359,0.359,0.9946,0.997306,0.359184
Bird,0.312,0.312,0.9942,0.99711,0.3125
Bottle,0.293,0.293,0.9941,0.997026,0.292517
BuildingNonResidential,0.217,0.217,0.9934,0.996706,0.21659
Bus,0.202,0.202,0.9933,0.996647,0.202381
Car,0.521,0.521,0.996,0.997986,0.521008
Cellphone,0.325,0.325,0.9943,0.997161,0.324675
Chess,0.604,0.604,0.9967,0.998333,0.603571
City,0.262,0.262,0.9938,0.996897,0.261905
ClassicPiano,0.143,0.143,0.9928,0.996396,0.142857
Computer,0.3,0.3,0.9941,0.997057,0.3
ComputerKeyboard,0.25,0.25,0.9937,0.996847,0.25
Cup,0.333,0.333,0.9944,0.997197,0.333333
DeskLamp,0.325,0.325,0.9943,0.997161,0.324675
DeskPhone,0.233,0.233,0.9936,0.996776,0.233083
Door,0.442,0.442,0.9953,0.997654,0.441964
Drum,0.143,0.143,0.9928,0.996396,0.142857
Fish,0.143,0.143,0.9928,0.996396,0.142857
FloorLamp,0.208,0.208,0.9934,0.996672,0.208333
Glasses,0.752,0.752,0.9979,0.998959,0.752381
Guitar,0.224,0.224,0.9935,0.99674,0.22449
Gun,0.308,0.308,0.9942,0.997093,0.308442
Hand,0.525,0.525,0.996,0.998003,0.525097
Hat,0.299,0.299,0.9941,0.997052,0.298701
Helicopter,0.48,0.48,0.9956,0.997814,0.480159
House,0.217,0.217,0.9934,0.99671,0.217391
HumanHead,0.648,0.648,0.9971,0.998522,0.648352
Humanoid,0.588,0.588,0.9965,0.998267,0.587755
Insect,0.303,0.303,0.9942,0.997068,0.302521
Jet,0.564,0.564,0.9963,0.998166,0.56383
Knife,0.143,0.143,0.9928,0.996396,0.142857
MilitaryVehicle,0.276,0.276,0.9939,0.996957,0.27619
Monitor,0.22,0.22,0.9935,0.99672,0.21978
Monoplane,0.259,0.259,0.9938,0.996884,0.258929
Motorcycle,0.422,0.422,0.9952,0.99757,0.422078
Mug,0.25,0.25,0.9937,0.996847,0.25
MultiSeat,0.303,0.303,0.9942,0.99707,0.303136
Musical_Instrument,0.21,0.21,0.9934,0.996677,0.209524
NonWheelChair,0.467,0.467,0.9955,0.997758,0.466667
PianoBoard,0.143,0.143,0.9928,0.996396,0.142857
PlantIndoors,0.362,0.362,0.9947,0.997317,0.361905
PlantWildNonTree,0.17,0.17,0.993,0.996509,0.169643
Quadruped,0.397,0.397,0.995,0.997466,0.397213
RectangleTable,0.394,0.394,0.9949,0.997451,0.393651
Rocket,0.2,0.2,0.9933,0.996637,0.2
RoundTable,0.328,0.328,0.9944,0.997175,0.328042
Shelf,0.296,0.296,0.9941,0.997041,0.296296
Ship,0.307,0.307,0.9942,0.997087,0.307143
Sign,0.157,0.157,0.9929,0.996456,0.157143
Skyscraper,0.159,0.159,0.993,0.996463,0.15873
Spoon,0.143,0.143,0.9928,0.996396,0.142857
Starship,0.182,0.182,0.9931,0.99656,0.181818
SubmachineGun,0.286,0.286,0.994,0.996997,0.285714
Sword,0.666,0.666,0.9972,0.998594,0.665505
Tool,0.527,0.527,0.996,0.998013,0.527473
Train,0.222,0.222,0.9935,0.99673,0.222222
Tree,0.278,0.278,0.994,0.996965,0.278195
Truck,0.162,0.162,0.993,0.996476,0.161905
TruckNonContainer,0.186,0.186,0.9932,0.996577,0.185714
Vase,0.218,0.218,0.9935,0.996714,0.218487
Violin,0.143,0.143,0.9928,0.996396,0.142857
Wheel,0.248,0.248,0.9937,0.996837,0.247619
WheelChair,0.226,0.226,0.9935,0.996747,0.22619
total,0.383,0.383,0.9948,0.997404,0.382519
