shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,15,45,45,19959,12
Apartment,22,68,68,29938,18
AquaticAnimal,31,49,49,26623,16
Bed,53,57,57,36617,22
Bicycle,81,19,19,33321,20
Biplane,75,100,100,58245,35
Bird,61,99,99,53245,32
Bottle,39,66,66,34941,21
BuildingNonResidential,44,111,111,51566,31
Bus,15,45,45,19959,12
Car,193,147,147,113209,68
Cellphone,22,33,33,18304,11
Chess,135,65,65,66615,40
City,20,40,40,19964,12
ClassicPiano,6,24,24,9978,6
Computer,40,60,60,33280,20
ComputerKeyboard,7,13,13,6655,4
Cup,55,80,80,44929,27
DeskLamp,46,64,64,36610,22
DeskPhone,28,67,67,31606,19
Door,87,73,73,53271,32
Drum,5,20,20,8315,5
Fish,1,4,4,1663,1
FloorLamp,34,86,86,39922,24
Glasses,59,16,16,24989,15
Guitar,19,51,51,23287,14
Gun,82,138,138,73210,44
Hand,113,72,72,61607,37
Hat,19,36,36,18301,11
Helicopter,100,80,80,59932,36
House,33,82,82,38259,23
HumanHead,94,36,36,43306,26
Humanoid,336,189,189,174846,105
Insect,95,160,160,84857,51
Jet,290,180,180,156518,94
Knife,7,28,28,11641,7
MilitaryVehicle,27,48,48,24957,15
Monitor,18,47,47,21624,13
Monoplane,24,56,56,26616,16
Motorcycle,58,52,52,36622,22
Mug,33,67,67,33273,20
MultiSeat,77,128,128,68219,41
Musical_Instrument,21,54,54,24951,15
NonWheelChair,114,111,111,74904,45
PianoBoard,3,12,12,4989,3
PlantIndoors,94,131,131,74884,45
PlantWildNonTree,17,63,63,26609,16
Quadruped,94,111,111,68236,41
RectangleTable,105,120,120,74895,45
Rocket,21,54,54,24951,15
RoundTable,57,78,78,44931,27
Shelf,53,82,82,44927,27
Ship,76,124,124,66556,40
Sign,11,39,39,16631,10
Skyscraper,20,70,70,29936,18
Spoon,2,8,8,3326,2
Starship,27,83,83,36591,22
SubmachineGun,18,37,37,18300,11
Sword,146,59,59,68288,41
Tool,110,85,85,64928,39
Train,28,62,62,29944,18
Tree,32,63,63,31610,19
Truck,16,59,59,24946,15
TruckNonContainer,12,38,38,16632,10
Vase,25,60,60,28279,17
Violin,4,16,16,6652,4
Wheel,25,50,50,24955,15
WheelChair,17,43,43,19961,12
total,3747,4613,4613,2782611,1672
