shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,15,81,81,19887,12
Apartment,22,122,122,29830,18
AquaticAnimal,36,92,92,26532,16
Bed,66,110,110,36498,22
Bicycle,117,43,43,33237,20
Biplane,92,188,188,58052,35
Bird,76,180,180,53068,32
Bottle,46,122,122,34822,21
BuildingNonResidential,48,200,200,51384,31
Bus,17,79,79,19889,12
Car,280,264,264,112888,68
Cellphone,28,60,60,18244,11
Chess,184,136,136,66424,40
City,22,74,74,19894,12
ClassicPiano,6,42,42,9942,6
Computer,43,117,117,33163,20
ComputerKeyboard,7,25,25,6631,4
Cup,69,147,147,44781,27
DeskLamp,52,124,124,36484,22
DeskPhone,31,121,121,31495,19
Door,106,150,150,53098,32
Drum,5,35,35,8285,5
Fish,1,7,7,1657,1
FloorLamp,36,156,156,39780,24
Glasses,88,32,32,24928,15
Guitar,24,88,88,23208,14
Gun,104,248,248,72968,44
Hand,142,154,154,61414,37
Hat,23,65,65,18239,11
Helicopter,130,158,158,59746,36
House,36,148,148,38124,23
HumanHead,126,82,82,43182,26
Humanoid,485,355,355,174365,105
Insect,115,293,293,84571,51
Jet,417,335,335,156081,94
Knife,7,49,49,11599,7
MilitaryVehicle,29,91,91,24869,15
Monitor,22,82,82,21550,13
Monoplane,30,98,98,26526,16
Motorcycle,69,107,107,36501,22
Mug,39,121,121,33159,20
MultiSeat,92,236,236,67988,41
Musical_Instrument,23,97,97,24863,15
NonWheelChair,166,194,194,74686,45
PianoBoard,4,20,20,4972,3
PlantIndoors,131,229,229,74651,45
PlantWildNonTree,19,109,109,26515,16
Quadruped,118,210,210,68014,41
RectangleTable,136,224,224,74656,45
Rocket,23,97,97,24863,15
RoundTable,66,150,150,44778,27
Shelf,58,158,158,44770,27
Ship,94,226,226,66334,40
Sign,11,69,69,16571,10
Skyscraper,23,121,121,29831,18
Spoon,2,14,14,3314,2
Starship,28,148,148,36460,22
SubmachineGun,24,64,64,18240,11
Sword,215,113,113,68111,41
Tool,157,155,155,64741,39
Train,29,115,115,29837,18
Tree,38,114,114,31502,19
Truck,18,102,102,24858,15
TruckNonContainer,14,66,66,16574,10
Vase,27,109,109,28179,17
Violin,4,28,28,6628,4
Wheel,26,94,94,24866,15
WheelChair,19,77,77,19891,12
total,4856,8520,8520,2773688,1672
