shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.389,0.389,0.9978,0.998902,0.388889
Apartment,0.407,0.407,0.9979,0.998935,0.407407
AquaticAnimal,0.562,0.562,0.9984,0.999214,0.5625
Bed,0.545,0.545,0.9984,0.999183,0.545455
Bicycle,0.867,0.867,0.9995,0.99976,0.866667
Biplane,0.524,0.524,0.9983,0.999144,0.52381
Bird,0.531,0.531,0.9983,0.999157,0.53125
Bottle,0.508,0.508,0.9982,0.999116,0.507937
BuildingNonResidential,0.43,0.43,0.998,0.998976,0.430108
Bus,0.361,0.361,0.9977,0.998852,0.361111
Car,0.686,0.686,0.9989,0.999436,0.686275
Cellphone,0.576,0.576,0.9985,0.999237,0.575758
Chess,0.792,0.792,0.9993,0.999626,0.791667
City,0.528,0.528,0.9983,0.999151,0.527778
ClassicPiano,0.333,0.333,0.9976,0.998802,0.333333
Computer,0.633,0.633,0.9987,0.999341,0.633333
ComputerKeyboard,0.583,0.583,0.9985,0.999251,0.583333
Cup,0.568,0.568,0.9984,0.999223,0.567901
DeskLamp,0.561,0.561,0.9984,0.99921,0.560606
DeskPhone,0.421,0.421,0.9979,0.998959,0.421053
Door,0.75,0.75,0.9991,0.999551,0.75
Drum,0.333,0.333,0.9976,0.998802,0.333333
Fish,0.333,0.333,0.9976,0.998802,0.333333
FloorLamp,0.431,0.431,0.998,0.998976,0.430556
Glasses,0.889,0.889,0.9996,0.9998,0.888889
Guitar,0.381,0.381,0.9978,0.998887,0.380952
Gun,0.492,0.492,0.9982,0.999088,0.492424
Hand,0.739,0.739,0.9991,0.99953,0.738739
Hat,0.455,0.455,0.998,0.99902,0.454545
Helicopter,0.713,0.713,0.999,0.999484,0.712963
House,0.464,0.464,0.9981,0.999036,0.463768
HumanHead,0.756,0.756,0.9991,0.999562,0.75641
Humanoid,0.727,0.727,0.999,0.999509,0.726984
Insect,0.51,0.51,0.9982,0.999119,0.509804
Jet,0.674,0.674,0.9988,0.999414,0.673759
Knife,0.333,0.333,0.9976,0.998802,0.333333
MilitaryVehicle,0.489,0.489,0.9982,0.999081,0.488889
Monitor,0.436,0.436,0.998,0.998986,0.435897
Monoplane,0.438,0.438,0.998,0.998989,0.4375
Motorcycle,0.636,0.636,0.9987,0.999346,0.636364
Mug,0.45,0.45,0.998,0.999011,0.45
MultiSeat,0.496,0.496,0.9982,0.999094,0.495935
Musical_Instrument,0.378,0.378,0.9978,0.998882,0.377778
NonWheelChair,0.593,0.593,0.9985,0.999268,0.592593
PianoBoard,0.333,0.333,0.9976,0.998802,0.333333
PlantIndoors,0.541,0.541,0.9984,0.999174,0.540741
PlantWildNonTree,0.333,0.333,0.9976,0.998802,0.333333
Quadruped,0.593,0.593,0.9985,0.999269,0.593496
RectangleTable,0.6,0.6,0.9986,0.999281,0.6
Rocket,0.422,0.422,0.9979,0.998961,0.422222
RoundTable,0.58,0.58,0.9985,0.999246,0.580247
Shelf,0.531,0.531,0.9983,0.999157,0.530864
Ship,0.508,0.508,0.9982,0.999116,0.508333
Sign,0.367,0.367,0.9977,0.998862,0.366667
Skyscraper,0.37,0.37,0.9977,0.998868,0.37037
Spoon,0.333,0.333,0.9976,0.998802,0.333333
Starship,0.394,0.394,0.9978,0.998911,0.393939
SubmachineGun,0.424,0.424,0.9979,0.998965,0.424242
Sword,0.813,0.813,0.9993,0.999664,0.813008
Tool,0.667,0.667,0.9988,0.999401,0.666667
Train,0.463,0.463,0.9981,0.999035,0.462963
Tree,0.439,0.439,0.998,0.998991,0.438596
Truck,0.333,0.333,0.9976,0.998802,0.333333
TruckNonContainer,0.4,0.4,0.9978,0.998922,0.4
Vase,0.431,0.431,0.998,0.998978,0.431373
Violin,0.333,0.333,0.9976,0.998802,0.333333
Wheel,0.467,0.467,0.9981,0.999041,0.466667
WheelChair,0.417,0.417,0.9979,0.998951,0.416667
total,0.571,0.571,0.9985,0.999229,0.571172
