shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.208,0.208,0.9943,0.997149,0.208333
Apartment,0.204,0.204,0.9943,0.997132,0.203704
AquaticAnimal,0.354,0.354,0.9954,0.997674,0.354167
Bed,0.424,0.424,0.9959,0.997926,0.424242
Bicycle,0.792,0.792,0.9985,0.99925,0.791667
Biplane,0.395,0.395,0.9957,0.997822,0.395238
Bird,0.344,0.344,0.9953,0.997637,0.34375
Bottle,0.325,0.325,0.9952,0.99757,0.325397
BuildingNonResidential,0.247,0.247,0.9946,0.997289,0.247312
Bus,0.222,0.222,0.9944,0.997199,0.222222
Car,0.534,0.534,0.9967,0.998323,0.534314
Cellphone,0.379,0.379,0.9955,0.997763,0.378788
Chess,0.625,0.625,0.9973,0.998649,0.625
City,0.278,0.278,0.9948,0.997399,0.277778
ClassicPiano,0.167,0.167,0.994,0.996999,0.166667
Computer,0.333,0.333,0.9952,0.997599,0.333333
ComputerKeyboard,0.292,0.292,0.9949,0.997449,0.291667
Cup,0.364,0.364,0.9954,0.99771,0.364198
DeskLamp,0.364,0.364,0.9954,0.997708,0.363636
DeskPhone,0.272,0.272,0.9948,0.997378,0.27193
Door,0.479,0.479,0.9963,0.998124,0.479167
Drum,0.167,0.167,0.994,0.996999,0.166667
Fish,0.167,0.167,0.994,0.996999,0.166667
FloorLamp,0.243,0.243,0.9946,0.997274,0.243056
Glasses,0.767,0.767,0.9983,0.99916,0.766667
Guitar,0.238,0.238,0.9945,0.997256,0.238095
Gun,0.326,0.326,0.9952,0.997572,0.325758
Hand,0.577,0.577,0.997,0.998475,0.576577
Hat,0.318,0.318,0.9951,0.997544,0.318182
Helicopter,0.519,0.519,0.9965,0.998266,0.518519
House,0.254,0.254,0.9946,0.997312,0.253623
HumanHead,0.679,0.679,0.9977,0.998846,0.679487
Humanoid,0.611,0.611,0.9972,0.998599,0.611111
Insect,0.327,0.327,0.9952,0.997576,0.326797
Jet,0.592,0.592,0.9971,0.998531,0.592199
Knife,0.167,0.167,0.994,0.996999,0.166667
MilitaryVehicle,0.311,0.311,0.9951,0.997519,0.311111
Monitor,0.244,0.244,0.9946,0.997276,0.24359
Monoplane,0.271,0.271,0.9948,0.997374,0.270833
Motorcycle,0.47,0.47,0.9962,0.99809,0.469697
Mug,0.283,0.283,0.9949,0.997419,0.283333
MultiSeat,0.333,0.333,0.9952,0.997599,0.333333
Musical_Instrument,0.233,0.233,0.9945,0.997239,0.233333
NonWheelChair,0.478,0.478,0.9963,0.998119,0.477778
PianoBoard,0.167,0.167,0.994,0.996999,0.166667
PlantIndoors,0.385,0.385,0.9956,0.997786,0.385185
PlantWildNonTree,0.188,0.188,0.9942,0.997074,0.1875
Quadruped,0.423,0.423,0.9959,0.997921,0.422764
RectangleTable,0.426,0.426,0.9959,0.997933,0.425926
Rocket,0.233,0.233,0.9945,0.997239,0.233333
RoundTable,0.364,0.364,0.9954,0.99771,0.364198
Shelf,0.34,0.34,0.9953,0.997621,0.339506
Ship,0.337,0.337,0.9952,0.997614,0.3375
Sign,0.183,0.183,0.9941,0.997059,0.183333
Skyscraper,0.185,0.185,0.9942,0.997065,0.185185
Spoon,0.167,0.167,0.994,0.996999,0.166667
Starship,0.205,0.205,0.9943,0.997135,0.204545
SubmachineGun,0.318,0.318,0.9951,0.997544,0.318182
Sword,0.663,0.663,0.9976,0.998785,0.662602
Tool,0.538,0.538,0.9967,0.998338,0.538462
Train,0.259,0.259,0.9947,0.997332,0.259259
Tree,0.325,0.325,0.9952,0.997567,0.324561
Truck,0.189,0.189,0.9942,0.997079,0.188889
TruckNonContainer,0.2,0.2,0.9943,0.997119,0.2
Vase,0.245,0.245,0.9946,0.997281,0.245098
Violin,0.167,0.167,0.994,0.996999,0.166667
Wheel,0.278,0.278,0.9948,0.997399,0.277778
WheelChair,0.25,0.25,0.9946,0.997299,0.25
total,0.41,0.41,0.9958,0.997874,0.409789
