shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,10,10,20030,12
Apartment,22,14,14,30046,18
AquaticAnimal,22,10,10,26710,16
Bed,31,13,13,36727,22
Bicycle,38,2,2,33398,20
Biplane,43,27,27,58423,35
Bird,45,19,19,53421,32
Bottle,29,13,13,35057,21
BuildingNonResidential,36,26,26,51744,31
Bus,13,11,11,20029,12
Car,104,32,32,113528,68
Cellphone,16,6,6,18364,11
Chess,72,8,8,66792,40
City,19,5,5,20035,12
ClassicPiano,6,6,6,10014,6
Computer,36,4,4,33396,20
ComputerKeyboard,5,3,3,6677,4
Cup,41,13,13,45077,27
DeskLamp,32,12,12,36728,22
DeskPhone,19,19,19,31711,19
Door,59,5,5,53435,32
Drum,5,5,5,8345,5
Fish,1,1,1,1669,1
FloorLamp,29,19,19,40061,24
Glasses,29,1,1,25049,15
Guitar,15,13,13,23367,14
Gun,61,27,27,73453,44
Hand,69,5,5,61785,37
Hat,13,9,9,18361,11
Helicopter,61,11,11,60109,36
House,30,16,16,38394,23
HumanHead,44,8,8,43412,26
Humanoid,171,39,39,175311,105
Insect,70,32,32,85138,51
Jet,146,42,42,156938,94
Knife,7,7,7,11683,7
MilitaryVehicle,20,10,10,25040,15
Monitor,17,9,9,21701,13
Monoplane,18,14,14,26706,16
Motorcycle,35,9,9,36731,22
Mug,26,14,14,33386,20
MultiSeat,53,29,29,68441,41
Musical_Instrument,15,15,15,25035,15
NonWheelChair,65,25,25,75125,45
PianoBoard,3,3,3,5007,3
PlantIndoors,61,29,29,75121,45
PlantWildNonTree,16,16,16,26704,16
Quadruped,59,23,23,68447,41
RectangleTable,67,23,23,75127,45
Rocket,19,11,11,25039,15
RoundTable,38,16,16,45074,27
Shelf,35,19,19,45071,27
Ship,54,26,26,66774,40
Sign,10,10,10,16690,10
Skyscraper,20,16,16,30044,18
Spoon,2,2,2,3338,2
Starship,26,18,18,36722,22
SubmachineGun,11,11,11,18359,11
Sword,68,14,14,68456,41
Tool,58,20,20,65110,39
Train,22,14,14,30046,18
Tree,24,14,14,31716,19
Truck,15,15,15,25035,15
TruckNonContainer,11,9,9,16691,10
Vase,20,14,14,28376,17
Violin,4,4,4,6676,4
Wheel,19,11,11,25039,15
WheelChair,14,10,10,20030,12
total,2378,966,966,2791274,1672
