shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,15,105,105,19839,12
Apartment,23,157,157,29759,18
AquaticAnimal,39,121,121,26471,16
Bed,70,150,150,36414,22
Bicycle,135,65,65,33175,20
Biplane,107,243,243,57927,35
Bird,81,239,239,52945,32
Bottle,52,158,158,34744,21
BuildingNonResidential,53,257,257,51265,31
Bus,17,103,103,19841,12
Car,336,344,344,112672,68
Cellphone,29,81,81,18201,11
Chess,216,184,184,66296,40
City,22,98,98,19846,12
ClassicPiano,6,54,54,9918,6
Computer,44,156,156,33084,20
ComputerKeyboard,8,32,32,6616,4
Cup,76,194,194,44680,27
DeskLamp,56,164,164,36400,22
DeskPhone,32,158,158,31420,19
Door,118,202,202,52982,32
Drum,5,45,45,8265,5
Fish,1,9,9,1653,1
FloorLamp,37,203,203,39685,24
Glasses,101,49,49,24881,15
Guitar,26,114,114,23154,14
Gun,122,318,318,72810,44
Hand,157,213,213,61281,37
Hat,24,86,86,18196,11
Helicopter,152,208,208,59624,36
House,38,192,192,38034,23
HumanHead,141,119,119,43093,26
Humanoid,585,465,465,174045,105
Insect,128,382,382,84380,51
Jet,489,451,451,155777,94
Knife,9,61,61,11573,7
MilitaryVehicle,30,120,120,24810,15
Monitor,23,107,107,21499,13
Monoplane,35,125,125,26467,16
Motorcycle,79,141,141,36423,22
Mug,42,158,158,33082,20
MultiSeat,102,308,308,67834,41
Musical_Instrument,25,125,125,24805,15
NonWheelChair,194,256,256,74534,45
PianoBoard,4,26,26,4960,3
PlantIndoors,147,303,303,74487,45
PlantWildNonTree,21,139,139,26453,16
Quadruped,133,277,277,67865,41
RectangleTable,154,296,296,74494,45
Rocket,24,126,126,24804,15
RoundTable,72,198,198,44676,27
Shelf,62,208,208,44666,27
Ship,106,294,294,66186,40
Sign,11,89,89,16531,10
Skyscraper,23,157,157,29759,18
Spoon,2,18,18,3306,2
Starship,28,192,192,36372,22
SubmachineGun,26,84,84,18198,11
Sword,258,152,152,67990,41
Tool,178,212,212,64606,39
Train,30,150,150,29766,18
Tree,43,147,147,31431,19
Truck,19,131,131,24799,15
TruckNonContainer,14,86,86,16534,10
Vase,29,141,141,28113,17
Violin,4,36,36,6612,4
Wheel,27,123,123,24807,15
WheelChair,21,99,99,19845,12
total,5516,11204,11204,2767660,1672
