shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,15,93,93,19863,12
Apartment,22,140,140,29794,18
AquaticAnimal,37,107,107,26501,16
Bed,68,130,130,36456,22
Bicycle,128,52,52,33208,20
Biplane,100,215,215,57990,35
Bird,78,210,210,53006,32
Bottle,50,139,139,34784,21
BuildingNonResidential,50,229,229,51324,31
Bus,17,91,91,19865,12
Car,305,307,307,112777,68
Cellphone,29,70,70,18223,11
Chess,202,158,158,66362,40
City,22,86,86,19870,12
ClassicPiano,6,48,48,9930,6
Computer,44,136,136,33124,20
ComputerKeyboard,8,28,28,6624,4
Cup,72,171,171,44730,27
DeskLamp,54,144,144,36442,22
DeskPhone,31,140,140,31457,19
Door,115,173,173,53043,32
Drum,5,40,40,8275,5
Fish,1,8,8,1655,1
FloorLamp,36,180,180,39732,24
Glasses,97,38,38,24907,15
Guitar,25,101,101,23181,14
Gun,113,283,283,72889,44
Hand,148,185,185,61346,37
Hat,24,75,75,18218,11
Helicopter,141,183,183,59685,36
House,36,171,171,38078,23
HumanHead,134,100,100,43138,26
Humanoid,536,409,409,174206,105
Insect,122,337,337,84476,51
Jet,451,395,395,155927,94
Knife,8,55,55,11586,7
MilitaryVehicle,30,105,105,24840,15
Monitor,23,94,94,21525,13
Monoplane,33,111,111,26497,16
Motorcycle,76,122,122,36464,22
Mug,40,140,140,33120,20
MultiSeat,95,274,274,67909,41
Musical_Instrument,23,112,112,24833,15
NonWheelChair,179,226,226,74609,45
PianoBoard,4,23,23,4966,3
PlantIndoors,139,266,266,74569,45
PlantWildNonTree,20,124,124,26484,16
Quadruped,125,244,244,67939,41
RectangleTable,145,260,260,74575,45
Rocket,24,111,111,24834,15
RoundTable,68,175,175,44726,27
Shelf,60,183,183,44718,27
Ship,100,260,260,66260,40
Sign,11,79,79,16551,10
Skyscraper,23,139,139,29795,18
Spoon,2,16,16,3310,2
Starship,28,170,170,36416,22
SubmachineGun,25,74,74,18219,11
Sword,239,130,130,68053,41
Tool,166,185,185,64672,39
Train,29,133,133,29801,18
Tree,39,132,132,31465,19
Truck,18,117,117,24828,15
TruckNonContainer,14,76,76,16554,10
Vase,28,125,125,28146,17
Violin,4,32,32,6620,4
Wheel,26,109,109,24836,15
WheelChair,20,88,88,19868,12
total,5186,9862,9862,2770674,1672
