shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.156,0.156,0.9919,0.995944,0.15625
Apartment,0.153,0.153,0.9919,0.995927,0.152778
AquaticAnimal,0.281,0.281,0.9931,0.996544,0.28125
Bed,0.375,0.375,0.994,0.996995,0.375
Bicycle,0.731,0.731,0.9974,0.998708,0.73125
Biplane,0.329,0.329,0.9936,0.996772,0.328571
Bird,0.297,0.297,0.9933,0.99662,0.296875
Bottle,0.274,0.274,0.9931,0.996509,0.27381
BuildingNonResidential,0.194,0.194,0.9923,0.996123,0.193548
Bus,0.177,0.177,0.9921,0.996044,0.177083
Car,0.515,0.515,0.9954,0.997667,0.514706
Cellphone,0.318,0.318,0.9935,0.996722,0.318182
Chess,0.575,0.575,0.9959,0.997957,0.575
City,0.229,0.229,0.9926,0.996294,0.229167
ClassicPiano,0.125,0.125,0.9916,0.995793,0.125
Computer,0.269,0.269,0.993,0.996484,0.26875
ComputerKeyboard,0.219,0.219,0.9925,0.996244,0.21875
Cup,0.319,0.319,0.9935,0.996728,0.319444
DeskLamp,0.295,0.295,0.9933,0.996613,0.295455
DeskPhone,0.204,0.204,0.9924,0.996173,0.203947
Door,0.414,0.414,0.9944,0.997183,0.414062
Drum,0.125,0.125,0.9916,0.995793,0.125
Fish,0.125,0.125,0.9916,0.995793,0.125
FloorLamp,0.188,0.188,0.9922,0.996094,0.1875
Glasses,0.733,0.733,0.9974,0.998718,0.733333
Guitar,0.214,0.214,0.9925,0.996223,0.214286
Gun,0.295,0.295,0.9933,0.996613,0.295455
Hand,0.48,0.48,0.995,0.997499,0.47973
Hat,0.261,0.261,0.9929,0.996449,0.261364
Helicopter,0.451,0.451,0.9948,0.997362,0.451389
House,0.196,0.196,0.9923,0.996133,0.195652
HumanHead,0.606,0.606,0.9962,0.998105,0.605769
Humanoid,0.577,0.577,0.996,0.997968,0.577381
Insect,0.282,0.282,0.9931,0.996547,0.281863
Jet,0.555,0.555,0.9957,0.997858,0.554521
Knife,0.125,0.125,0.9916,0.995793,0.125
MilitaryVehicle,0.242,0.242,0.9927,0.996354,0.241667
Monitor,0.212,0.212,0.9925,0.996209,0.211538
Monoplane,0.234,0.234,0.9927,0.996319,0.234375
Motorcycle,0.392,0.392,0.9942,0.997077,0.392045
Mug,0.244,0.244,0.9928,0.996364,0.24375
MultiSeat,0.28,0.28,0.9931,0.996541,0.280488
Musical_Instrument,0.192,0.192,0.9923,0.996114,0.191667
NonWheelChair,0.461,0.461,0.9948,0.997409,0.461111
PianoBoard,0.167,0.167,0.992,0.995994,0.166667
PlantIndoors,0.364,0.364,0.9939,0.996942,0.363889
PlantWildNonTree,0.148,0.148,0.9919,0.995906,0.148438
Quadruped,0.36,0.36,0.9939,0.996922,0.359756
RectangleTable,0.378,0.378,0.994,0.997009,0.377778
Rocket,0.192,0.192,0.9923,0.996114,0.191667
RoundTable,0.306,0.306,0.9934,0.996661,0.305556
Shelf,0.269,0.269,0.993,0.996483,0.268519
Ship,0.294,0.294,0.9932,0.996605,0.29375
Sign,0.138,0.138,0.9917,0.995853,0.1375
Skyscraper,0.16,0.16,0.992,0.99596,0.159722
Spoon,0.125,0.125,0.9916,0.995793,0.125
Starship,0.159,0.159,0.992,0.995957,0.159091
SubmachineGun,0.273,0.273,0.993,0.996503,0.272727
Sword,0.655,0.655,0.9967,0.998344,0.655488
Tool,0.503,0.503,0.9952,0.997612,0.503205
Train,0.201,0.201,0.9924,0.996161,0.201389
Tree,0.25,0.25,0.9928,0.996394,0.25
Truck,0.15,0.15,0.9919,0.995913,0.15
TruckNonContainer,0.175,0.175,0.9921,0.996034,0.175
Vase,0.199,0.199,0.9923,0.996147,0.198529
Violin,0.125,0.125,0.9916,0.995793,0.125
Wheel,0.217,0.217,0.9925,0.996234,0.216667
WheelChair,0.198,0.198,0.9923,0.996144,0.197917
total,0.363,0.363,0.9939,0.996938,0.363038
