shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.139,0.139,0.9907,0.99534,0.138889
Apartment,0.136,0.136,0.9907,0.995323,0.135802
AquaticAnimal,0.257,0.257,0.992,0.995979,0.256944
Bed,0.343,0.343,0.9929,0.996447,0.343434
Bicycle,0.711,0.711,0.9969,0.998437,0.711111
Biplane,0.317,0.317,0.9927,0.996306,0.31746
Bird,0.271,0.271,0.9922,0.996054,0.270833
Bottle,0.265,0.265,0.9921,0.99602,0.26455
BuildingNonResidential,0.179,0.179,0.9912,0.995558,0.179211
Bus,0.157,0.157,0.9909,0.99544,0.157407
Car,0.498,0.498,0.9946,0.997285,0.498366
Cellphone,0.293,0.293,0.9924,0.996173,0.292929
Chess,0.561,0.561,0.9953,0.997625,0.561111
City,0.204,0.204,0.9914,0.995691,0.203704
ClassicPiano,0.111,0.111,0.9904,0.995189,0.111111
Computer,0.244,0.244,0.9919,0.995911,0.244444
ComputerKeyboard,0.222,0.222,0.9916,0.995791,0.222222
Cup,0.296,0.296,0.9924,0.996192,0.296296
DeskLamp,0.273,0.273,0.9922,0.996064,0.272727
DeskPhone,0.181,0.181,0.9912,0.995569,0.181287
Door,0.399,0.399,0.9935,0.996749,0.399306
Drum,0.111,0.111,0.9904,0.995189,0.111111
Fish,0.111,0.111,0.9904,0.995189,0.111111
FloorLamp,0.167,0.167,0.991,0.99549,0.166667
Glasses,0.719,0.719,0.997,0.998477,0.718519
Guitar,0.198,0.198,0.9914,0.995662,0.198413
Gun,0.285,0.285,0.9923,0.996132,0.285354
Hand,0.444,0.444,0.994,0.996993,0.444444
Hat,0.242,0.242,0.9918,0.9959,0.242424
Helicopter,0.435,0.435,0.9939,0.996943,0.435185
House,0.174,0.174,0.9911,0.995529,0.173913
HumanHead,0.573,0.573,0.9954,0.997687,0.57265
Humanoid,0.567,0.567,0.9953,0.997658,0.567196
Insect,0.266,0.266,0.9921,0.996027,0.265795
Jet,0.533,0.533,0.995,0.997473,0.533097
Knife,0.127,0.127,0.9906,0.995275,0.126984
MilitaryVehicle,0.222,0.222,0.9916,0.995791,0.222222
Monitor,0.197,0.197,0.9914,0.995652,0.196581
Monoplane,0.229,0.229,0.9917,0.995828,0.229167
Motorcycle,0.384,0.384,0.9934,0.996665,0.383838
Mug,0.222,0.222,0.9916,0.995791,0.222222
MultiSeat,0.257,0.257,0.992,0.995981,0.257453
Musical_Instrument,0.17,0.17,0.9911,0.99551,0.17037
NonWheelChair,0.442,0.442,0.994,0.99698,0.441975
PianoBoard,0.148,0.148,0.9908,0.99539,0.148148
PlantIndoors,0.343,0.343,0.9929,0.996446,0.34321
PlantWildNonTree,0.139,0.139,0.9907,0.99534,0.138889
Quadruped,0.339,0.339,0.9929,0.996421,0.338753
RectangleTable,0.358,0.358,0.9931,0.996526,0.358025
Rocket,0.178,0.178,0.9911,0.99555,0.177778
RoundTable,0.28,0.28,0.9922,0.996103,0.279835
Shelf,0.247,0.247,0.9919,0.995924,0.246914
Ship,0.278,0.278,0.9922,0.996091,0.277778
Sign,0.122,0.122,0.9906,0.99525,0.122222
Skyscraper,0.142,0.142,0.9908,0.995356,0.141975
Spoon,0.111,0.111,0.9904,0.995189,0.111111
Starship,0.141,0.141,0.9908,0.995353,0.141414
SubmachineGun,0.253,0.253,0.992,0.995955,0.252525
Sword,0.648,0.648,0.9962,0.998093,0.647696
Tool,0.473,0.473,0.9943,0.997148,0.472934
Train,0.179,0.179,0.9912,0.995557,0.179012
Tree,0.228,0.228,0.9917,0.995822,0.22807
Truck,0.133,0.133,0.9907,0.99531,0.133333
TruckNonContainer,0.156,0.156,0.9909,0.99543,0.155556
Vase,0.183,0.183,0.9912,0.995579,0.183007
Violin,0.111,0.111,0.9904,0.995189,0.111111
Wheel,0.193,0.193,0.9913,0.99563,0.192593
WheelChair,0.185,0.185,0.9912,0.99559,0.185185
total,0.345,0.345,0.9929,0.996453,0.344631
