shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,1.0,1.0,1.0,1.0,1.0
Apartment,1.0,1.0,1.0,1.0,1.0
AquaticAnimal,1.0,1.0,1.0,1.0,1.0
Bed,1.0,1.0,1.0,1.0,1.0
Bicycle,1.0,1.0,1.0,1.0,1.0
Biplane,1.0,1.0,1.0,1.0,1.0
Bird,1.0,1.0,1.0,1.0,1.0
Bottle,1.0,1.0,1.0,1.0,1.0
BuildingNonResidential,1.0,1.0,1.0,1.0,1.0
Bus,1.0,1.0,1.0,1.0,1.0
Car,1.0,1.0,1.0,1.0,1.0
Cellphone,1.0,1.0,1.0,1.0,1.0
Chess,1.0,1.0,1.0,1.0,1.0
City,1.0,1.0,1.0,1.0,1.0
ClassicPiano,1.0,1.0,1.0,1.0,1.0
Computer,1.0,1.0,1.0,1.0,1.0
ComputerKeyboard,1.0,1.0,1.0,1.0,1.0
Cup,1.0,1.0,1.0,1.0,1.0
DeskLamp,1.0,1.0,1.0,1.0,1.0
DeskPhone,1.0,1.0,1.0,1.0,1.0
Door,1.0,1.0,1.0,1.0,1.0
Drum,1.0,1.0,1.0,1.0,1.0
Fish,1.0,1.0,1.0,1.0,1.0
FloorLamp,1.0,1.0,1.0,1.0,1.0
Glasses,1.0,1.0,1.0,1.0,1.0
Guitar,1.0,1.0,1.0,1.0,1.0
Gun,1.0,1.0,1.0,1.0,1.0
Hand,1.0,1.0,1.0,1.0,1.0
Hat,1.0,1.0,1.0,1.0,1.0
Helicopter,1.0,1.0,1.0,1.0,1.0
House,1.0,1.0,1.0,1.0,1.0
HumanHead,1.0,1.0,1.0,1.0,1.0
Humanoid,1.0,1.0,1.0,1.0,1.0
Insect,1.0,1.0,1.0,1.0,1.0
Jet,1.0,1.0,1.0,1.0,1.0
Knife,1.0,1.0,1.0,1.0,1.0
MilitaryVehicle,1.0,1.0,1.0,1.0,1.0
Monitor,1.0,1.0,1.0,1.0,1.0
Monoplane,1.0,1.0,1.0,1.0,1.0
Motorcycle,1.0,1.0,1.0,1.0,1.0
Mug,1.0,1.0,1.0,1.0,1.0
MultiSeat,1.0,1.0,1.0,1.0,1.0
Musical_Instrument,1.0,1.0,1.0,1.0,1.0
NonWheelChair,1.0,1.0,1.0,1.0,1.0
PianoBoard,1.0,1.0,1.0,1.0,1.0
PlantIndoors,1.0,1.0,1.0,1.0,1.0
PlantWildNonTree,1.0,1.0,1.0,1.0,1.0
Quadruped,1.0,1.0,1.0,1.0,1.0
RectangleTable,1.0,1.0,1.0,1.0,1.0
Rocket,1.0,1.0,1.0,1.0,1.0
RoundTable,1.0,1.0,1.0,1.0,1.0
Shelf,1.0,1.0,1.0,1.0,1.0
Ship,1.0,1.0,1.0,1.0,1.0
Sign,1.0,1.0,1.0,1.0,1.0
Skyscraper,1.0,1.0,1.0,1.0,1.0
Spoon,1.0,1.0,1.0,1.0,1.0
Starship,1.0,1.0,1.0,1.0,1.0
SubmachineGun,1.0,1.0,1.0,1.0,1.0
Sword,1.0,1.0,1.0,1.0,1.0
Tool,1.0,1.0,1.0,1.0,1.0
Train,1.0,1.0,1.0,1.0,1.0
Tree,1.0,1.0,1.0,1.0,1.0
Truck,1.0,1.0,1.0,1.0,1.0
TruckNonContainer,1.0,1.0,1.0,1.0,1.0
Vase,1.0,1.0,1.0,1.0,1.0
Violin,1.0,1.0,1.0,1.0,1.0
Wheel,1.0,1.0,1.0,1.0,1.0
WheelChair,1.0,1.0,1.0,1.0,1.0
total,1.0,1.0,1.0,1.0,1.0
