shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,34,34,19982,12
Apartment,22,50,50,29974,18
AquaticAnimal,29,35,35,26653,16
Bed,46,42,42,36654,22
Bicycle,66,14,14,33346,20
Biplane,63,77,77,58303,35
Bird,58,70,70,53306,32
Bottle,34,50,50,34978,21
BuildingNonResidential,43,81,81,51627,31
Bus,14,34,34,19982,12
Car,168,104,104,113320,68
Cellphone,20,24,24,18324,11
Chess,117,43,43,66677,40
City,20,28,28,19988,12
ClassicPiano,6,18,18,9990,6
Computer,39,41,41,33319,20
ComputerKeyboard,7,9,9,6663,4
Cup,48,60,60,44976,27
DeskLamp,42,46,46,36650,22
DeskPhone,25,51,51,31641,19
Door,81,47,47,53329,32
Drum,5,15,15,8325,5
Fish,1,3,3,1665,1
FloorLamp,34,62,62,39970,24
Glasses,48,12,12,25008,15
Guitar,16,40,40,23312,14
Gun,77,99,99,73293,44
Hand,98,50,50,61666,37
Hat,17,27,27,18321,11
Helicopter,87,57,57,59991,36
House,33,59,59,38305,23
HumanHead,76,28,28,43340,26
Humanoid,282,138,138,175002,105
Insect,87,117,117,84951,51
Jet,242,134,134,156658,94
Knife,7,21,21,11655,7
MilitaryVehicle,24,36,36,24984,15
Monitor,17,35,35,21649,13
Monoplane,23,41,41,26647,16
Motorcycle,50,38,38,36658,22
Mug,29,51,51,33309,20
MultiSeat,71,93,93,68295,41
Musical_Instrument,19,41,41,24979,15
NonWheelChair,102,78,78,74982,45
PianoBoard,3,9,9,4995,3
PlantIndoors,86,94,94,74966,45
PlantWildNonTree,17,47,47,26641,16
Quadruped,84,80,80,68308,41
RectangleTable,96,84,84,74976,45
Rocket,20,40,40,24980,15
RoundTable,52,56,56,44980,27
Shelf,46,62,62,44974,27
Ship,67,93,93,66627,40
Sign,11,29,29,16651,10
Skyscraper,20,52,52,29972,18
Spoon,2,6,6,3330,2
Starship,27,61,61,36635,22
SubmachineGun,16,28,28,18320,11
Sword,122,42,42,68346,41
Tool,94,62,62,64990,39
Train,27,45,45,29979,18
Tree,28,48,48,31644,19
Truck,15,45,45,24975,15
TruckNonContainer,12,28,28,16652,10
Vase,22,46,46,28310,17
Violin,4,12,12,6660,4
Wheel,24,36,36,24984,15
WheelChair,17,31,31,19985,12
total,3319,3369,3369,2785527,1672
