shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.125,0.125,0.9895,0.994735,0.125
Apartment,0.128,0.128,0.9896,0.994752,0.127778
AquaticAnimal,0.244,0.244,0.991,0.99545,0.24375
Bed,0.318,0.318,0.9918,0.995898,0.318182
Bicycle,0.675,0.675,0.9961,0.998045,0.675
Biplane,0.306,0.306,0.9917,0.995823,0.305714
Bird,0.253,0.253,0.9911,0.995506,0.253125
Bottle,0.248,0.248,0.991,0.995473,0.247619
BuildingNonResidential,0.171,0.171,0.9901,0.995012,0.170968
Bus,0.142,0.142,0.9897,0.994836,0.141667
Car,0.494,0.494,0.9939,0.996956,0.494118
Cellphone,0.264,0.264,0.9912,0.995569,0.263636
Chess,0.54,0.54,0.9945,0.997232,0.54
City,0.183,0.183,0.9902,0.995086,0.183333
ClassicPiano,0.1,0.1,0.9892,0.994585,0.1
Computer,0.22,0.22,0.9907,0.995307,0.22
ComputerKeyboard,0.2,0.2,0.9904,0.995187,0.2
Cup,0.281,0.281,0.9914,0.995677,0.281481
DeskLamp,0.255,0.255,0.9911,0.995515,0.254545
DeskPhone,0.168,0.168,0.9901,0.994997,0.168421
Door,0.369,0.369,0.9924,0.996202,0.36875
Drum,0.1,0.1,0.9892,0.994585,0.1
Fish,0.1,0.1,0.9892,0.994585,0.1
FloorLamp,0.154,0.154,0.9899,0.994911,0.154167
Glasses,0.673,0.673,0.9961,0.998034,0.673333
Guitar,0.186,0.186,0.9903,0.995101,0.185714
Gun,0.277,0.277,0.9914,0.995651,0.277273
Hand,0.424,0.424,0.9931,0.996536,0.424324
Hat,0.218,0.218,0.9906,0.995296,0.218182
Helicopter,0.422,0.422,0.9931,0.996524,0.422222
House,0.165,0.165,0.99,0.994977,0.165217
HumanHead,0.542,0.542,0.9945,0.997246,0.542308
Humanoid,0.557,0.557,0.9947,0.997335,0.557143
Insect,0.251,0.251,0.991,0.995493,0.25098
Jet,0.52,0.52,0.9943,0.997113,0.520213
Knife,0.129,0.129,0.9896,0.994757,0.128571
MilitaryVehicle,0.2,0.2,0.9904,0.995187,0.2
Monitor,0.177,0.177,0.9902,0.995048,0.176923
Monoplane,0.219,0.219,0.9907,0.995299,0.21875
Motorcycle,0.359,0.359,0.9923,0.996144,0.359091
Mug,0.21,0.21,0.9906,0.995247,0.21
MultiSeat,0.249,0.249,0.991,0.99548,0.24878
Musical_Instrument,0.167,0.167,0.99,0.994986,0.166667
NonWheelChair,0.431,0.431,0.9932,0.996577,0.431111
PianoBoard,0.133,0.133,0.9896,0.994785,0.133333
PlantIndoors,0.327,0.327,0.9919,0.995949,0.326667
PlantWildNonTree,0.131,0.131,0.9896,0.994773,0.13125
Quadruped,0.324,0.324,0.9919,0.995935,0.32439
RectangleTable,0.342,0.342,0.9921,0.996042,0.342222
Rocket,0.16,0.16,0.99,0.994946,0.16
RoundTable,0.267,0.267,0.9912,0.995588,0.266667
Shelf,0.23,0.23,0.9908,0.995365,0.22963
Ship,0.265,0.265,0.9912,0.995578,0.265
Sign,0.11,0.11,0.9894,0.994645,0.11
Skyscraper,0.128,0.128,0.9896,0.994752,0.127778
Spoon,0.1,0.1,0.9892,0.994585,0.1
Starship,0.127,0.127,0.9896,0.994749,0.127273
SubmachineGun,0.236,0.236,0.9909,0.995405,0.236364
Sword,0.629,0.629,0.9956,0.997769,0.629268
Tool,0.456,0.456,0.9935,0.996729,0.45641
Train,0.167,0.167,0.99,0.994986,0.166667
Tree,0.226,0.226,0.9907,0.995345,0.226316
Truck,0.127,0.127,0.9896,0.994745,0.126667
TruckNonContainer,0.14,0.14,0.9897,0.994826,0.14
Vase,0.171,0.171,0.9901,0.99501,0.170588
Violin,0.1,0.1,0.9892,0.994585,0.1
Wheel,0.18,0.18,0.9902,0.995066,0.18
WheelChair,0.175,0.175,0.9901,0.995036,0.175
total,0.33,0.33,0.992,0.995968,0.329904
