shapeclass,filename,rectangularity,compactness,convexity,eccentricity
AircraftBuoyant,data/normalized/AircraftBuoyant/a1151.obj,0.03778937598368108,57.07650980823013,0.1328799970605215,23.6997831268691
AircraftBuoyant,data/normalized/AircraftBuoyant/aa1614.obj,0.2228090582455617,5.339875260797646,0.401284914429268,12.237792946533993
AircraftBuoyant,data/normalized/AircraftBuoyant/m1337.obj,0.409565485667398,1.7855465809849196,0.8812837036556649,1.9614471358234045
AircraftBuoyant,data/normalized/AircraftBuoyant/m1338.obj,0.40355430813142645,3.0119860287614992,0.8618351280883505,1.1933063789075151
AircraftBuoyant,data/normalized/AircraftBuoyant/m1340.obj,0.22938360696746024,1.9446562715982516,0.6116679762525611,19.090882679674912
AircraftBuoyant,data/normalized/AircraftBuoyant/m1341.obj,0.26592227660565326,2.123134798121206,0.6763215677330977,25.213249180379965
AircraftBuoyant,data/normalized/AircraftBuoyant/m1343.obj,0.4901129697059403,2.8021586460950876,1.0900466110453635,1.8184958875964679
AircraftBuoyant,data/normalized/AircraftBuoyant/m1344.obj,0.3623089675999211,1.273230833951069,0.9230580029963688,2.317014362310276
AircraftBuoyant,data/normalized/AircraftBuoyant/m1345.obj,0.0024639063160239952,195783.12195652458,0.006783332188803077,2.1362034464757436
AircraftBuoyant,data/normalized/AircraftBuoyant/m1350.obj,0.3612534303638197,3.584788413063871,0.681266061169695,16.307059301099187
AircraftBuoyant,data/normalized/AircraftBuoyant/m1351.obj,0.4800174911612666,5.4147705375237445,0.867957703259556,21.746589162197793
AircraftBuoyant,data/normalized/AircraftBuoyant/m1352.obj,0.37050906333205635,3.893887058976563,0.8323167528214572,10.621043238880134
Apartment,data/normalized/Apartment/D00045.obj,0.09654069045710784,234.4951209924857,0.16517896355994402,3.8530054228960267
Apartment,data/normalized/Apartment/D00086.obj,0.36147996134533333,5.178706046211383,0.7396517669032987,14.014022688436508
Apartment,data/normalized/Apartment/D00138.obj,0.1295698592304703,885.5582909754705,0.16792376601290188,6.398549792254585
Apartment,data/normalized/Apartment/D00156.obj,0.09089426859544418,10979.546406846202,0.14068572263127752,6.533276883118314
Apartment,data/normalized/Apartment/D00310.obj,0.026403897697308998,87950.35721428331,0.03534844468852058,10.740306131739699
Apartment,data/normalized/Apartment/D00478.obj,0.2779524885443461,50.82031012020394,0.4629949633171479,4.86788799349659
Apartment,data/normalized/Apartment/D00496.obj,0.022639035387250008,706.3183955575856,0.059162579650115184,2.4409194065727484
Apartment,data/normalized/Apartment/D00626.obj,0.22704216945561057,57.88437487972192,0.4073579938699227,6.209631023245649
Apartment,data/normalized/Apartment/D00639.obj,0.42407283945518753,113.44987132712963,0.6729748329533772,3.4239756649485895
Apartment,data/normalized/Apartment/D00651.obj,0.09050056401330392,10865.259180683777,0.14093563815368348,6.39092925468978
Apartment,data/normalized/Apartment/D00681.obj,0.21436235808695153,845.6875276963751,0.39982920235755326,8.088364500888465
Apartment,data/normalized/Apartment/D00780.obj,0.1194029717713792,48.32151166335768,0.14236818489527783,24.46940775066427
Apartment,data/normalized/Apartment/D00859.obj,0.35309011245678956,88.11045032811538,0.6441539888900717,13.596952439245829
Apartment,data/normalized/Apartment/D00860.obj,0.27416672784284096,52.643803642765164,0.4557138341249995,4.817835344677839
Apartment,data/normalized/Apartment/D00869.obj,0.48526037490180396,25.737409203165655,0.5376420437656626,3.335697094799234
Apartment,data/normalized/Apartment/D00921.obj,0.2330205231794249,2.8935807721123155,0.5042225810693068,1.8694636040112833
