shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,34,34,19982,12
Apartment,22,50,50,29974,18
AquaticAnimal,30,34,34,26654,16
Bed,38,50,50,36646,22
Bicycle,60,20,20,33340,20
Biplane,65,75,75,58305,35
Bird,59,69,69,53307,32
Bottle,30,54,54,34974,21
BuildingNonResidential,45,79,79,51629,31
Bus,13,35,35,19981,12
Car,178,94,94,113330,68
Cellphone,27,17,17,18331,11
Chess,118,42,42,66678,40
City,22,26,26,19990,12
ClassicPiano,6,18,18,9990,6
Computer,42,38,38,33322,20
ComputerKeyboard,8,8,8,6664,4
Cup,56,52,52,44984,27
DeskLamp,38,50,50,36646,22
DeskPhone,33,43,43,31649,19
Door,74,54,54,53322,32
Drum,5,15,15,8325,5
Fish,1,3,3,1665,1
FloorLamp,28,68,68,39964,24
Glasses,38,22,22,24998,15
Guitar,19,37,37,23315,14
Gun,79,97,97,73295,44
Hand,99,49,49,61667,37
Hat,14,30,30,18318,11
Helicopter,82,62,62,59986,36
House,34,58,58,38306,23
HumanHead,71,33,33,43335,26
Humanoid,305,115,115,175025,105
Insect,88,116,116,84952,51
Jet,234,142,142,156650,94
Knife,9,19,19,11657,7
MilitaryVehicle,30,30,30,24990,15
Monitor,24,28,28,21656,13
Monoplane,20,44,44,26644,16
Motorcycle,55,33,33,36663,22
Mug,39,41,41,33319,20
MultiSeat,82,82,82,68306,41
Musical_Instrument,19,41,41,24979,15
NonWheelChair,97,83,83,74977,45
PianoBoard,3,9,9,4995,3
PlantIndoors,84,96,96,74964,45
PlantWildNonTree,18,46,46,26642,16
Quadruped,83,81,81,68307,41
RectangleTable,101,79,79,74981,45
Rocket,21,39,39,24981,15
RoundTable,42,66,66,44970,27
Shelf,39,69,69,44967,27
Ship,62,98,98,66622,40
Sign,11,29,29,16651,10
Skyscraper,24,48,48,29976,18
Spoon,2,6,6,3330,2
Starship,29,59,59,36637,22
SubmachineGun,15,29,29,18319,11
Sword,117,47,47,68341,41
Tool,102,54,54,64998,39
Train,26,46,46,29978,18
Tree,25,51,51,31641,19
Truck,18,42,42,24978,15
TruckNonContainer,16,24,24,16656,10
Vase,19,49,49,28307,17
Violin,5,11,11,6661,4
Wheel,20,40,40,24980,15
WheelChair,17,31,31,19985,12
total,3349,3339,3339,2785557,1672
