shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,106,106,19838,12
Apartment,27,153,153,29763,18
AquaticAnimal,40,120,120,26472,16
Bed,64,156,156,36408,22
Bicycle,118,82,82,33158,20
Biplane,104,246,246,57924,35
Bird,87,233,233,52951,32
Bottle,36,174,174,34728,21
BuildingNonResidential,56,254,254,51268,31
Bus,18,102,102,19842,12
Car,367,313,313,112703,68
Cellphone,34,76,76,18206,11
Chess,207,193,193,66287,40
City,25,95,95,19849,12
ClassicPiano,7,53,53,9919,6
Computer,51,149,149,33091,20
ComputerKeyboard,9,31,31,6617,4
Cup,85,185,185,44689,27
DeskLamp,46,174,174,36390,22
DeskPhone,47,143,143,31435,19
Door,111,209,209,52975,32
Drum,5,45,45,8265,5
Fish,1,9,9,1653,1
FloorLamp,28,212,212,39676,24
Glasses,61,89,89,24841,15
Guitar,29,111,111,23157,14
Gun,118,322,322,72806,44
Hand,166,204,204,61290,37
Hat,18,92,92,18190,11
Helicopter,137,223,223,59609,36
House,39,191,191,38035,23
HumanHead,122,138,138,43074,26
Humanoid,633,417,417,174093,105
Insect,153,357,357,84405,51
Jet,470,470,470,155758,94
Knife,10,60,60,11574,7
MilitaryVehicle,43,107,107,24823,15
Monitor,34,96,96,21510,13
Monoplane,32,128,128,26464,16
Motorcycle,79,141,141,36423,22
Mug,65,135,135,33105,20
MultiSeat,141,269,269,67873,41
Musical_Instrument,30,120,120,24810,15
NonWheelChair,181,269,269,74521,45
PianoBoard,4,26,26,4960,3
PlantIndoors,130,320,320,74470,45
PlantWildNonTree,22,138,138,26454,16
Quadruped,140,270,270,67872,41
RectangleTable,158,292,292,74498,45
Rocket,25,125,125,24805,15
RoundTable,61,209,209,44665,27
Shelf,56,214,214,44660,27
Ship,88,312,312,66168,40
Sign,12,88,88,16532,10
Skyscraper,29,151,151,29765,18
Spoon,2,18,18,3306,2
Starship,33,187,187,36377,22
SubmachineGun,20,90,90,18192,11
Sword,268,142,142,68000,41
Tool,202,188,188,64630,39
Train,30,150,150,29766,18
Tree,33,157,157,31421,19
Truck,23,127,127,24803,15
TruckNonContainer,20,80,80,16540,10
Vase,26,144,144,28110,17
Violin,5,35,35,6613,4
Wheel,22,128,128,24802,15
WheelChair,26,94,94,19850,12
total,5583,11137,11137,2767727,1672
