shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,46,46,19958,12
Apartment,23,67,67,29939,18
AquaticAnimal,33,47,47,26625,16
Bed,45,65,65,36609,22
Bicycle,72,28,28,33312,20
Biplane,72,103,103,58242,35
Bird,66,94,94,53250,32
Bottle,30,75,75,34932,21
BuildingNonResidential,46,109,109,51568,31
Bus,14,46,46,19958,12
Car,214,126,126,113230,68
Cellphone,29,26,26,18311,11
Chess,136,64,64,66616,40
City,24,36,36,19968,12
ClassicPiano,6,24,24,9978,6
Computer,46,54,54,33286,20
ComputerKeyboard,8,12,12,6656,4
Cup,62,73,73,44936,27
DeskLamp,41,69,69,36605,22
DeskPhone,34,61,61,31612,19
Door,83,77,77,53267,32
Drum,5,20,20,8315,5
Fish,1,4,4,1663,1
FloorLamp,28,92,92,39916,24
Glasses,46,29,29,24976,15
Guitar,23,47,47,23291,14
Gun,87,133,133,73215,44
Hand,113,72,72,61607,37
Hat,14,41,41,18296,11
Helicopter,92,88,88,59924,36
House,35,80,80,38261,23
HumanHead,83,47,47,43295,26
Humanoid,366,159,159,174876,105
Insect,100,155,155,84862,51
Jet,277,193,193,156505,94
Knife,10,25,25,11644,7
MilitaryVehicle,31,44,44,24961,15
Monitor,24,41,41,21630,13
Monoplane,22,58,58,26614,16
Motorcycle,60,50,50,36624,22
Mug,43,57,57,33283,20
MultiSeat,92,113,113,68234,41
Musical_Instrument,20,55,55,24950,15
NonWheelChair,112,113,113,74902,45
PianoBoard,3,12,12,4989,3
PlantIndoors,92,133,133,74882,45
PlantWildNonTree,20,60,60,26612,16
Quadruped,93,112,112,68235,41
RectangleTable,117,108,108,74907,45
Rocket,23,52,52,24953,15
RoundTable,43,92,92,44917,27
Shelf,42,93,93,44916,27
Ship,67,133,133,66547,40
Sign,12,38,38,16632,10
Skyscraper,24,66,66,29940,18
Spoon,2,8,8,3326,2
Starship,32,78,78,36596,22
SubmachineGun,17,38,38,18299,11
Sword,143,62,62,68285,41
Tool,121,74,74,64939,39
Train,27,63,63,29943,18
Tree,27,68,68,31605,19
Truck,19,56,56,24949,15
TruckNonContainer,16,34,34,16636,10
Vase,21,64,64,28275,17
Violin,5,15,15,6653,4
Wheel,21,54,54,24951,15
WheelChair,19,41,41,19963,12
total,3788,4572,4572,2782652,1672
