shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.583,0.583,0.999,0.999501,0.583333
Apartment,0.611,0.611,0.9991,0.999534,0.611111
AquaticAnimal,0.688,0.688,0.9993,0.999626,0.6875
Bed,0.659,0.659,0.9992,0.999592,0.659091
Bicycle,0.9,0.9,0.9998,0.99988,0.9
Biplane,0.629,0.629,0.9991,0.999555,0.628571
Bird,0.766,0.766,0.9994,0.999719,0.765625
Bottle,0.619,0.619,0.9991,0.999544,0.619048
BuildingNonResidential,0.565,0.565,0.999,0.999478,0.564516
Bus,0.5,0.5,0.9988,0.999401,0.5
Car,0.801,0.801,0.9995,0.999762,0.801471
Cellphone,0.818,0.818,0.9996,0.999782,0.818182
Chess,0.9,0.9,0.9998,0.99988,0.9
City,0.792,0.792,0.9995,0.99975,0.791667
ClassicPiano,0.5,0.5,0.9988,0.999401,0.5
Computer,0.9,0.9,0.9998,0.99988,0.9
ComputerKeyboard,1.0,1.0,1.0,1.0,1.0
Cup,0.815,0.815,0.9996,0.999778,0.814815
DeskLamp,0.727,0.727,0.9993,0.999673,0.727273
DeskPhone,0.605,0.605,0.9991,0.999527,0.605263
Door,0.875,0.875,0.9997,0.99985,0.875
Drum,0.5,0.5,0.9988,0.999401,0.5
Fish,0.5,0.5,0.9988,0.999401,0.5
FloorLamp,0.542,0.542,0.9989,0.999451,0.541667
Glasses,0.8,0.8,0.9995,0.99976,0.8
Guitar,0.5,0.5,0.9988,0.999401,0.5
Gun,0.716,0.716,0.9993,0.99966,0.715909
Hand,0.932,0.932,0.9998,0.999919,0.932432
Hat,0.545,0.545,0.9989,0.999456,0.545455
Helicopter,0.833,0.833,0.9996,0.9998,0.833333
House,0.63,0.63,0.9991,0.999557,0.630435
HumanHead,0.808,0.808,0.9995,0.99977,0.807692
Humanoid,0.843,0.843,0.9996,0.999812,0.842857
Insect,0.686,0.686,0.9992,0.999624,0.686275
Jet,0.766,0.766,0.9994,0.99972,0.765957
Knife,0.5,0.5,0.9988,0.999401,0.5
MilitaryVehicle,0.733,0.733,0.9994,0.999681,0.733333
Monitor,0.731,0.731,0.9994,0.999678,0.730769
Monoplane,0.562,0.562,0.999,0.999476,0.5625
Motorcycle,0.818,0.818,0.9996,0.999782,0.818182
Mug,0.725,0.725,0.9993,0.999671,0.725
MultiSeat,0.707,0.707,0.9993,0.999649,0.707317
Musical_Instrument,0.533,0.533,0.9989,0.999441,0.533333
NonWheelChair,0.667,0.667,0.9992,0.999601,0.666667
PianoBoard,0.5,0.5,0.9988,0.999401,0.5
PlantIndoors,0.667,0.667,0.9992,0.999601,0.666667
PlantWildNonTree,0.531,0.531,0.9989,0.999439,0.53125
Quadruped,0.732,0.732,0.9994,0.999679,0.731707
RectangleTable,0.756,0.756,0.9994,0.999707,0.755556
Rocket,0.533,0.533,0.9989,0.999441,0.533333
RoundTable,0.648,0.648,0.9992,0.999579,0.648148
Shelf,0.574,0.574,0.999,0.99949,0.574074
Ship,0.613,0.613,0.9991,0.999536,0.6125
Sign,0.55,0.55,0.9989,0.999461,0.55
Skyscraper,0.667,0.667,0.9992,0.999601,0.666667
Spoon,0.5,0.5,0.9988,0.999401,0.5
Starship,0.591,0.591,0.999,0.99951,0.590909
SubmachineGun,0.636,0.636,0.9991,0.999565,0.636364
Sword,0.866,0.866,0.9997,0.999839,0.865854
Tool,0.795,0.795,0.9995,0.999754,0.794872
Train,0.583,0.583,0.999,0.999501,0.583333
Tree,0.605,0.605,0.9991,0.999527,0.605263
Truck,0.567,0.567,0.999,0.999481,0.566667
TruckNonContainer,0.7,0.7,0.9993,0.999641,0.7
Vase,0.559,0.559,0.9989,0.999472,0.558824
Violin,0.5,0.5,0.9988,0.999401,0.5
Wheel,0.633,0.633,0.9991,0.999561,0.633333
WheelChair,0.667,0.667,0.9992,0.999601,0.666667
total,0.716,0.716,0.9993,0.99966,0.716208
