shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.146,0.146,0.9918,0.995893,0.145833
Apartment,0.167,0.167,0.992,0.995994,0.166667
AquaticAnimal,0.273,0.273,0.993,0.996507,0.273438
Bed,0.33,0.33,0.9936,0.996777,0.329545
Bicycle,0.644,0.644,0.9966,0.998287,0.64375
Biplane,0.343,0.343,0.9937,0.996841,0.342857
Bird,0.316,0.316,0.9935,0.996713,0.316406
Bottle,0.185,0.185,0.9922,0.996079,0.184524
BuildingNonResidential,0.214,0.214,0.9925,0.99622,0.21371
Bus,0.167,0.167,0.992,0.995994,0.166667
Car,0.583,0.583,0.996,0.997994,0.582721
Cellphone,0.364,0.364,0.9939,0.996941,0.363636
Chess,0.584,0.584,0.996,0.998002,0.584375
City,0.25,0.25,0.9928,0.996394,0.25
ClassicPiano,0.146,0.146,0.9918,0.995893,0.145833
Computer,0.319,0.319,0.9935,0.996725,0.31875
ComputerKeyboard,0.281,0.281,0.9931,0.996544,0.28125
Cup,0.338,0.338,0.9937,0.996817,0.337963
DeskLamp,0.244,0.244,0.9928,0.996367,0.244318
DeskPhone,0.283,0.283,0.9931,0.996552,0.282895
Door,0.41,0.41,0.9944,0.997164,0.410156
Drum,0.125,0.125,0.9916,0.995793,0.125
Fish,0.125,0.125,0.9916,0.995793,0.125
FloorLamp,0.146,0.146,0.9918,0.995893,0.145833
Glasses,0.467,0.467,0.9949,0.997436,0.466667
Guitar,0.232,0.232,0.9927,0.996308,0.232143
Gun,0.301,0.301,0.9933,0.99664,0.301136
Hand,0.497,0.497,0.9952,0.99758,0.496622
Hat,0.193,0.193,0.9923,0.996121,0.193182
Helicopter,0.403,0.403,0.9943,0.997129,0.402778
House,0.19,0.19,0.9923,0.996107,0.190217
HumanHead,0.534,0.534,0.9955,0.997758,0.533654
Humanoid,0.631,0.631,0.9965,0.998226,0.630952
Insect,0.321,0.321,0.9935,0.996736,0.321078
Jet,0.521,0.521,0.9954,0.997698,0.521277
Knife,0.179,0.179,0.9921,0.996051,0.178571
MilitaryVehicle,0.325,0.325,0.9935,0.996755,0.325
Monitor,0.288,0.288,0.9932,0.996579,0.288462
Monoplane,0.219,0.219,0.9925,0.996244,0.21875
Motorcycle,0.42,0.42,0.9945,0.997214,0.420455
Mug,0.362,0.362,0.9939,0.996935,0.3625
MultiSeat,0.357,0.357,0.9938,0.996907,0.356707
Musical_Instrument,0.233,0.233,0.9927,0.996314,0.233333
NonWheelChair,0.439,0.439,0.9946,0.997302,0.438889
PianoBoard,0.167,0.167,0.992,0.995994,0.166667
PlantIndoors,0.325,0.325,0.9935,0.996755,0.325
PlantWildNonTree,0.164,0.164,0.992,0.995981,0.164062
Quadruped,0.372,0.372,0.994,0.996981,0.371951
RectangleTable,0.403,0.403,0.9943,0.997129,0.402778
Rocket,0.192,0.192,0.9923,0.996114,0.191667
RoundTable,0.241,0.241,0.9927,0.99635,0.240741
Shelf,0.222,0.222,0.9926,0.996261,0.222222
Ship,0.25,0.25,0.9928,0.996394,0.25
Sign,0.15,0.15,0.9919,0.995913,0.15
Skyscraper,0.188,0.188,0.9922,0.996094,0.1875
Spoon,0.125,0.125,0.9916,0.995793,0.125
Starship,0.182,0.182,0.9922,0.996066,0.181818
SubmachineGun,0.205,0.205,0.9924,0.996176,0.204545
Sword,0.674,0.674,0.9969,0.998432,0.67378
Tool,0.554,0.554,0.9957,0.997858,0.554487
Train,0.208,0.208,0.9924,0.996194,0.208333
Tree,0.197,0.197,0.9923,0.996141,0.197368
Truck,0.183,0.183,0.9922,0.996074,0.183333
TruckNonContainer,0.237,0.237,0.9927,0.996334,0.2375
Vase,0.169,0.169,0.992,0.996005,0.169118
Violin,0.156,0.156,0.9919,0.995944,0.15625
Wheel,0.183,0.183,0.9922,0.996074,0.183333
WheelChair,0.229,0.229,0.9926,0.996294,0.229167
total,0.367,0.367,0.9939,0.996959,0.367449
