shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,94,94,19862,12
Apartment,26,136,136,29798,18
AquaticAnimal,36,108,108,26500,16
Bed,60,138,138,36448,22
Bicycle,114,66,66,33194,20
Biplane,99,216,216,57989,35
Bird,85,203,203,53013,32
Bottle,33,156,156,34767,21
BuildingNonResidential,54,225,225,51328,31
Bus,18,90,90,19866,12
Car,341,271,271,112813,68
Cellphone,32,67,67,18226,11
Chess,197,163,163,66357,40
City,25,83,83,19873,12
ClassicPiano,7,47,47,9931,6
Computer,51,129,129,33131,20
ComputerKeyboard,9,27,27,6625,4
Cup,77,166,166,44735,27
DeskLamp,45,153,153,36433,22
DeskPhone,46,125,125,31472,19
Door,108,180,180,53036,32
Drum,5,40,40,8275,5
Fish,1,8,8,1655,1
FloorLamp,28,188,188,39724,24
Glasses,56,79,79,24866,15
Guitar,28,98,98,23184,14
Gun,114,282,282,72890,44
Hand,157,176,176,61355,37
Hat,18,81,81,18212,11
Helicopter,129,195,195,59673,36
House,37,170,170,38079,23
HumanHead,114,120,120,43118,26
Humanoid,586,359,359,174256,105
Insect,137,322,322,84491,51
Jet,429,417,417,155905,94
Knife,10,53,53,11588,7
MilitaryVehicle,41,94,94,24851,15
Monitor,31,86,86,21533,13
Monoplane,30,114,114,26494,16
Motorcycle,76,122,122,36464,22
Mug,61,119,119,33141,20
MultiSeat,128,241,241,67942,41
Musical_Instrument,29,106,106,24839,15
NonWheelChair,173,232,232,74603,45
PianoBoard,4,23,23,4966,3
PlantIndoors,127,278,278,74557,45
PlantWildNonTree,21,123,123,26485,16
Quadruped,133,236,236,67947,41
RectangleTable,151,254,254,74581,45
Rocket,24,111,111,24834,15
RoundTable,55,188,188,44713,27
Shelf,52,191,191,44710,27
Ship,84,276,276,66244,40
Sign,12,78,78,16552,10
Skyscraper,27,135,135,29799,18
Spoon,2,16,16,3310,2
Starship,33,165,165,36421,22
SubmachineGun,18,81,81,18212,11
Sword,246,123,123,68060,41
Tool,186,165,165,64692,39
Train,30,132,132,29802,18
Tree,32,139,139,31458,19
Truck,22,113,113,24832,15
TruckNonContainer,20,70,70,16560,10
Vase,26,127,127,28144,17
Violin,5,31,31,6621,4
Wheel,22,113,113,24832,15
WheelChair,24,84,84,19872,12
total,5251,9797,9797,2770739,1672
