shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,70,70,19910,12
Apartment,24,102,102,29868,18
AquaticAnimal,35,77,77,26563,16
Bed,55,99,99,36531,22
Bicycle,94,46,46,33254,20
Biplane,89,156,156,58119,35
Bird,75,149,149,53131,32
Bottle,31,116,116,34849,21
BuildingNonResidential,52,165,165,51450,31
Bus,16,68,68,19912,12
Car,282,194,194,113026,68
Cellphone,31,46,46,18269,11
Chess,168,112,112,66488,40
City,24,60,60,19920,12
ClassicPiano,6,36,36,9954,6
Computer,50,90,90,33210,20
ComputerKeyboard,8,20,20,6640,4
Cup,69,120,120,44835,27
DeskLamp,42,112,112,36518,22
DeskPhone,41,92,92,31543,19
Door,98,126,126,53154,32
Drum,5,30,30,8295,5
Fish,1,6,6,1659,1
FloorLamp,28,140,140,39820,24
Glasses,54,51,51,24924,15
Guitar,26,72,72,23238,14
Gun,99,209,209,73051,44
Hand,134,125,125,61480,37
Hat,16,61,61,18254,11
Helicopter,108,144,144,59796,36
House,35,126,126,38169,23
HumanHead,102,80,80,43210,26
Humanoid,472,263,263,174562,105
Insect,121,236,236,84679,51
Jet,353,305,305,156205,94
Knife,10,39,39,11616,7
MilitaryVehicle,38,67,67,24908,15
Monitor,28,63,63,21582,13
Monoplane,25,87,87,26553,16
Motorcycle,70,84,84,36546,22
Mug,55,85,85,33215,20
MultiSeat,112,175,175,68090,41
Musical_Instrument,26,79,79,24896,15
NonWheelChair,144,171,171,74754,45
PianoBoard,4,17,17,4978,3
PlantIndoors,105,210,210,74715,45
PlantWildNonTree,21,91,91,26549,16
Quadruped,114,173,173,68092,41
RectangleTable,138,177,177,74748,45
Rocket,23,82,82,24893,15
RoundTable,48,141,141,44814,27
Shelf,45,144,144,44811,27
Ship,78,202,202,66398,40
Sign,12,58,58,16592,10
Skyscraper,26,100,100,29870,18
Spoon,2,12,12,3318,2
Starship,32,122,122,36508,22
SubmachineGun,18,59,59,18256,11
Sword,196,91,91,68174,41
Tool,155,118,118,64817,39
Train,29,97,97,29873,18
Tree,30,103,103,31532,19
Truck,22,83,83,24892,15
TruckNonContainer,18,52,52,16598,10
Vase,21,98,98,28207,17
Violin,5,23,23,6637,4
Wheel,21,84,84,24891,15
WheelChair,21,63,63,19917,12
total,4550,7154,7154,2776726,1672
