shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,58,58,19934,12
Apartment,23,85,85,29903,18
AquaticAnimal,34,62,62,26594,16
Bed,51,81,81,36571,22
Bicycle,84,36,36,33284,20
Biplane,82,128,128,58182,35
Bird,72,120,120,53192,32
Bottle,30,96,96,34890,21
BuildingNonResidential,49,137,137,51509,31
Bus,15,57,57,19935,12
Car,248,160,160,113128,68
Cellphone,31,35,35,18291,11
Chess,151,89,89,66551,40
City,24,48,48,19944,12
ClassicPiano,6,30,30,9966,6
Computer,48,72,72,33248,20
ComputerKeyboard,8,16,16,6648,4
Cup,67,95,95,44887,27
DeskLamp,41,91,91,36561,22
DeskPhone,37,77,77,31577,19
Door,88,104,104,53208,32
Drum,5,25,25,8305,5
Fish,1,5,5,1661,1
FloorLamp,28,116,116,39868,24
Glasses,53,37,37,24953,15
Guitar,24,60,60,23264,14
Gun,91,173,173,73131,44
Hand,125,97,97,61545,37
Hat,15,51,51,18275,11
Helicopter,100,116,116,59860,36
House,35,103,103,38215,23
HumanHead,93,63,63,43253,26
Humanoid,420,210,210,174720,105
Insect,112,194,194,84772,51
Jet,319,245,245,156359,94
Knife,10,32,32,11630,7
MilitaryVehicle,35,55,55,24935,15
Monitor,25,53,53,21605,13
Monoplane,24,72,72,26584,16
Motorcycle,64,68,68,36584,22
Mug,51,69,69,33251,20
MultiSeat,101,145,145,68161,41
Musical_Instrument,23,67,67,24923,15
NonWheelChair,128,142,142,74828,45
PianoBoard,3,15,15,4983,3
PlantIndoors,100,170,170,74800,45
PlantWildNonTree,21,75,75,26581,16
Quadruped,102,144,144,68162,41
RectangleTable,127,143,143,74827,45
Rocket,23,67,67,24923,15
RoundTable,46,116,116,44866,27
Shelf,44,118,118,44864,27
Ship,73,167,167,66473,40
Sign,12,48,48,16612,10
Skyscraper,25,83,83,29905,18
Spoon,2,10,10,3322,2
Starship,32,100,100,36552,22
SubmachineGun,17,49,49,18277,11
Sword,169,77,77,68229,41
Tool,139,95,95,64879,39
Train,28,80,80,29908,18
Tree,29,85,85,31569,19
Truck,21,69,69,24921,15
TruckNonContainer,17,43,43,16617,10
Vase,21,81,81,28241,17
Violin,5,19,19,6645,4
Wheel,21,69,69,24921,15
WheelChair,21,51,51,19941,12
total,4183,5849,5849,2779703,1672
