shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.389,0.389,0.9978,0.998902,0.388889
Apartment,0.407,0.407,0.9979,0.998935,0.407407
AquaticAnimal,0.562,0.562,0.9984,0.999214,0.5625
Bed,0.5,0.5,0.9982,0.999101,0.5
Bicycle,0.833,0.833,0.9994,0.9997,0.833333
Biplane,0.533,0.533,0.9983,0.999161,0.533333
Bird,0.552,0.552,0.9984,0.999195,0.552083
Bottle,0.413,0.413,0.9979,0.998944,0.412698
BuildingNonResidential,0.419,0.419,0.9979,0.998956,0.419355
Bus,0.361,0.361,0.9977,0.998852,0.361111
Car,0.711,0.711,0.999,0.99948,0.710784
Cellphone,0.727,0.727,0.999,0.99951,0.727273
Chess,0.817,0.817,0.9993,0.99967,0.816667
City,0.583,0.583,0.9985,0.999251,0.583333
ClassicPiano,0.333,0.333,0.9976,0.998802,0.333333
Computer,0.65,0.65,0.9987,0.999371,0.65
ComputerKeyboard,0.667,0.667,0.9988,0.999401,0.666667
Cup,0.63,0.63,0.9987,0.999334,0.62963
DeskLamp,0.561,0.561,0.9984,0.99921,0.560606
DeskPhone,0.491,0.491,0.9982,0.999085,0.491228
Door,0.677,0.677,0.9988,0.99942,0.677083
Drum,0.333,0.333,0.9976,0.998802,0.333333
Fish,0.333,0.333,0.9976,0.998802,0.333333
FloorLamp,0.375,0.375,0.9978,0.998877,0.375
Glasses,0.756,0.756,0.9991,0.999561,0.755556
Guitar,0.429,0.429,0.9979,0.998973,0.428571
Gun,0.553,0.553,0.9984,0.999197,0.55303
Hand,0.775,0.775,0.9992,0.999595,0.774775
Hat,0.394,0.394,0.9978,0.998911,0.393939
Helicopter,0.685,0.685,0.9989,0.999434,0.685185
House,0.464,0.464,0.9981,0.999036,0.463768
HumanHead,0.731,0.731,0.999,0.999516,0.730769
Humanoid,0.784,0.784,0.9992,0.999612,0.784127
Insect,0.516,0.516,0.9983,0.999131,0.51634
Jet,0.684,0.684,0.9989,0.999433,0.684397
Knife,0.333,0.333,0.9976,0.998802,0.333333
MilitaryVehicle,0.578,0.578,0.9985,0.999241,0.577778
Monitor,0.564,0.564,0.9984,0.999216,0.564103
Monoplane,0.396,0.396,0.9978,0.998914,0.395833
Motorcycle,0.727,0.727,0.999,0.99951,0.727273
Mug,0.55,0.55,0.9984,0.999191,0.55
MultiSeat,0.585,0.585,0.9985,0.999255,0.585366
Musical_Instrument,0.378,0.378,0.9978,0.998882,0.377778
NonWheelChair,0.593,0.593,0.9985,0.999268,0.592593
PianoBoard,0.333,0.333,0.9976,0.998802,0.333333
PlantIndoors,0.541,0.541,0.9984,0.999174,0.540741
PlantWildNonTree,0.375,0.375,0.9978,0.998877,0.375
Quadruped,0.561,0.561,0.9984,0.999211,0.560976
RectangleTable,0.652,0.652,0.9988,0.999374,0.651852
Rocket,0.444,0.444,0.998,0.999001,0.444444
RoundTable,0.481,0.481,0.9981,0.999068,0.481481
Shelf,0.432,0.432,0.998,0.998979,0.432099
Ship,0.458,0.458,0.9981,0.999026,0.458333
Sign,0.367,0.367,0.9977,0.998862,0.366667
Skyscraper,0.444,0.444,0.998,0.999001,0.444444
Spoon,0.333,0.333,0.9976,0.998802,0.333333
Starship,0.409,0.409,0.9979,0.998938,0.409091
SubmachineGun,0.424,0.424,0.9979,0.998965,0.424242
Sword,0.748,0.748,0.9991,0.999547,0.747967
Tool,0.701,0.701,0.9989,0.999462,0.700855
Train,0.444,0.444,0.998,0.999001,0.444444
Tree,0.439,0.439,0.998,0.998991,0.438596
Truck,0.378,0.378,0.9978,0.998882,0.377778
TruckNonContainer,0.533,0.533,0.9983,0.999161,0.533333
Vase,0.373,0.373,0.9977,0.998872,0.372549
Violin,0.333,0.333,0.9976,0.998802,0.333333
Wheel,0.444,0.444,0.998,0.999001,0.444444
WheelChair,0.444,0.444,0.998,0.999001,0.444444
total,0.58,0.58,0.9985,0.999246,0.580343
