shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,22,22,20006,12
Apartment,22,32,32,30010,18
AquaticAnimal,27,21,21,26683,16
Bed,33,33,33,36685,22
Bicycle,50,10,10,33370,20
Biplane,56,49,49,58366,35
Bird,53,43,43,53365,32
Bottle,26,37,37,35012,21
BuildingNonResidential,39,54,54,51685,31
Bus,13,23,23,20005,12
Car,145,59,59,113433,68
Cellphone,24,9,9,18350,11
Chess,98,22,22,66738,40
City,21,15,15,20013,12
ClassicPiano,6,12,12,10002,6
Computer,39,21,21,33359,20
ComputerKeyboard,8,4,4,6672,4
Cup,51,30,30,45033,27
DeskLamp,37,29,29,36689,22
DeskPhone,28,29,29,31682,19
Door,65,31,31,53377,32
Drum,5,10,10,8335,5
Fish,1,2,2,1667,1
FloorLamp,27,45,45,40011,24
Glasses,34,11,11,25024,15
Guitar,18,24,24,23342,14
Gun,73,59,59,73377,44
Hand,86,25,25,61728,37
Hat,13,20,20,18339,11
Helicopter,74,34,34,60050,36
House,32,37,37,38350,23
HumanHead,57,21,21,43373,26
Humanoid,247,68,68,175177,105
Insect,79,74,74,85045,51
Jet,193,89,89,156797,94
Knife,7,14,14,11669,7
MilitaryVehicle,26,19,19,25016,15
Monitor,22,17,17,21680,13
Monoplane,19,29,29,26675,16
Motorcycle,48,18,18,36700,22
Mug,33,27,27,33353,20
MultiSeat,72,51,51,68378,41
Musical_Instrument,17,28,28,25007,15
NonWheelChair,80,55,55,75050,45
PianoBoard,3,6,6,5001,3
PlantIndoors,73,62,62,75043,45
PlantWildNonTree,18,30,30,26674,16
Quadruped,69,54,54,68375,41
RectangleTable,88,47,47,75058,45
Rocket,20,25,25,25010,15
RoundTable,39,42,42,45021,27
Shelf,35,46,46,45017,27
Ship,55,65,65,66695,40
Sign,11,19,19,16671,10
Skyscraper,24,30,30,30012,18
Spoon,2,4,4,3334,2
Starship,27,39,39,36679,22
SubmachineGun,14,19,19,18340,11
Sword,92,31,31,68398,41
Tool,82,35,35,65056,39
Train,24,30,30,30012,18
Tree,25,32,32,31679,19
Truck,17,28,28,25007,15
TruckNonContainer,16,14,14,16676,10
Vase,19,32,32,28341,17
Violin,4,8,8,6668,4
Wheel,20,25,25,25010,15
WheelChair,16,20,20,20008,12
total,2911,2105,2105,2788463,1672
