shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.292,0.292,0.9966,0.998301,0.291667
Apartment,0.306,0.306,0.9967,0.998335,0.305556
AquaticAnimal,0.469,0.469,0.9975,0.998726,0.46875
Bed,0.432,0.432,0.9973,0.998637,0.431818
Bicycle,0.75,0.75,0.9988,0.9994,0.75
Biplane,0.464,0.464,0.9974,0.998715,0.464286
Bird,0.461,0.461,0.9974,0.998707,0.460938
Bottle,0.357,0.357,0.9969,0.998458,0.357143
BuildingNonResidential,0.363,0.363,0.997,0.998472,0.362903
Bus,0.271,0.271,0.9965,0.998251,0.270833
Car,0.654,0.654,0.9983,0.999171,0.654412
Cellphone,0.614,0.614,0.9982,0.999073,0.613636
Chess,0.738,0.738,0.9987,0.999371,0.7375
City,0.458,0.458,0.9974,0.998701,0.458333
ClassicPiano,0.25,0.25,0.9964,0.998201,0.25
Computer,0.525,0.525,0.9977,0.998861,0.525
ComputerKeyboard,0.5,0.5,0.9976,0.998801,0.5
Cup,0.519,0.519,0.9977,0.998845,0.518519
DeskLamp,0.432,0.432,0.9973,0.998637,0.431818
DeskPhone,0.434,0.434,0.9973,0.998643,0.434211
Door,0.578,0.578,0.998,0.998988,0.578125
Drum,0.25,0.25,0.9964,0.998201,0.25
Fish,0.25,0.25,0.9964,0.998201,0.25
FloorLamp,0.292,0.292,0.9966,0.998301,0.291667
Glasses,0.633,0.633,0.9982,0.999121,0.633333
Guitar,0.339,0.339,0.9968,0.998416,0.339286
Gun,0.449,0.449,0.9974,0.998678,0.448864
Hand,0.669,0.669,0.9984,0.999206,0.668919
Hat,0.318,0.318,0.9967,0.998365,0.318182
Helicopter,0.569,0.569,0.9979,0.998967,0.569444
House,0.37,0.37,0.997,0.998488,0.369565
HumanHead,0.683,0.683,0.9985,0.999239,0.682692
Humanoid,0.726,0.726,0.9987,0.999343,0.72619
Insect,0.431,0.431,0.9973,0.998636,0.431373
Jet,0.622,0.622,0.9982,0.999094,0.62234
Knife,0.321,0.321,0.9968,0.998373,0.321429
MilitaryVehicle,0.5,0.5,0.9976,0.998801,0.5
Monitor,0.462,0.462,0.9974,0.998709,0.461538
Monoplane,0.312,0.312,0.9967,0.998351,0.3125
Motorcycle,0.625,0.625,0.9982,0.999101,0.625
Mug,0.487,0.487,0.9975,0.998771,0.4875
MultiSeat,0.5,0.5,0.9976,0.998801,0.5
Musical_Instrument,0.317,0.317,0.9967,0.998361,0.316667
NonWheelChair,0.539,0.539,0.9978,0.998894,0.538889
PianoBoard,0.25,0.25,0.9964,0.998201,0.25
PlantIndoors,0.467,0.467,0.9974,0.998721,0.466667
PlantWildNonTree,0.281,0.281,0.9966,0.998276,0.28125
Quadruped,0.506,0.506,0.9976,0.998816,0.506098
RectangleTable,0.561,0.561,0.9979,0.998948,0.561111
Rocket,0.35,0.35,0.9969,0.998441,0.35
RoundTable,0.389,0.389,0.9971,0.998535,0.388889
Shelf,0.361,0.361,0.9969,0.998468,0.361111
Ship,0.388,0.388,0.9971,0.998531,0.3875
Sign,0.275,0.275,0.9965,0.998261,0.275
Skyscraper,0.333,0.333,0.9968,0.998401,0.333333
Spoon,0.25,0.25,0.9964,0.998201,0.25
Starship,0.33,0.33,0.9968,0.998392,0.329545
SubmachineGun,0.341,0.341,0.9968,0.998419,0.340909
Sword,0.713,0.713,0.9986,0.999313,0.713415
Tool,0.654,0.654,0.9983,0.99917,0.653846
Train,0.361,0.361,0.9969,0.998468,0.361111
Tree,0.329,0.329,0.9968,0.998391,0.328947
Truck,0.3,0.3,0.9967,0.998321,0.3
TruckNonContainer,0.4,0.4,0.9971,0.998561,0.4
Vase,0.279,0.279,0.9966,0.998272,0.279412
Violin,0.312,0.312,0.9967,0.998351,0.3125
Wheel,0.333,0.333,0.9968,0.998401,0.333333
WheelChair,0.354,0.354,0.9969,0.998451,0.354167
total,0.501,0.501,0.9976,0.998803,0.500748
