shapeclass,TP,FP,FN,TN,filecount
AircraftBuoyant,14,10,10,20030,12
Apartment,22,14,14,30046,18
AquaticAnimal,22,10,10,26710,16
Bed,29,15,15,36725,22
Bicycle,36,4,4,33396,20
Biplane,44,26,26,58424,35
Bird,49,15,15,53425,32
Bottle,26,16,16,35054,21
BuildingNonResidential,35,27,27,51743,31
Bus,12,12,12,20028,12
Car,109,27,27,113533,68
Cellphone,18,4,4,18366,11
Chess,72,8,8,66792,40
City,19,5,5,20035,12
ClassicPiano,6,6,6,10014,6
Computer,36,4,4,33396,20
ComputerKeyboard,8,0,0,6680,4
Cup,44,10,10,45080,27
DeskLamp,32,12,12,36728,22
DeskPhone,23,15,15,31715,19
Door,56,8,8,53432,32
Drum,5,5,5,8345,5
Fish,1,1,1,1669,1
FloorLamp,26,22,22,40058,24
Glasses,24,6,6,25044,15
Guitar,14,14,14,23366,14
Gun,63,25,25,73455,44
Hand,69,5,5,61785,37
Hat,12,10,10,18360,11
Helicopter,60,12,12,60108,36
House,29,17,17,38393,23
HumanHead,42,10,10,43410,26
Humanoid,177,33,33,175317,105
Insect,70,32,32,85138,51
Jet,144,44,44,156936,94
Knife,7,7,7,11683,7
MilitaryVehicle,22,8,8,25042,15
Monitor,19,7,7,21703,13
Monoplane,18,14,14,26706,16
Motorcycle,36,8,8,36732,22
Mug,29,11,11,33389,20
MultiSeat,58,24,24,68446,41
Musical_Instrument,16,14,14,25036,15
NonWheelChair,60,30,30,75120,45
PianoBoard,3,3,3,5007,3
PlantIndoors,60,30,30,75120,45
PlantWildNonTree,17,15,15,26705,16
Quadruped,60,22,22,68448,41
RectangleTable,68,22,22,75128,45
Rocket,16,14,14,25036,15
RoundTable,35,19,19,45071,27
Shelf,31,23,23,45067,27
Ship,49,31,31,66769,40
Sign,11,9,9,16691,10
Skyscraper,24,12,12,30048,18
Spoon,2,2,2,3338,2
Starship,26,18,18,36722,22
SubmachineGun,14,8,8,18362,11
Sword,71,11,11,68459,41
Tool,62,16,16,65114,39
Train,21,15,15,30045,18
Tree,23,15,15,31715,19
Truck,17,13,13,25037,15
TruckNonContainer,14,6,6,16694,10
Vase,19,15,15,28375,17
Violin,4,4,4,6676,4
Wheel,19,11,11,25039,15
WheelChair,16,8,8,20032,12
total,2395,949,949,2791291,1672
