shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.13,0.13,0.9906,0.99529,0.12963
Apartment,0.16,0.16,0.991,0.995457,0.160494
AquaticAnimal,0.25,0.25,0.9919,0.995941,0.25
Bed,0.303,0.303,0.9925,0.996228,0.30303
Bicycle,0.633,0.633,0.9961,0.998016,0.633333
Biplane,0.314,0.314,0.9926,0.996289,0.314286
Bird,0.295,0.295,0.9924,0.996185,0.295139
Bottle,0.175,0.175,0.9911,0.995533,0.174603
BuildingNonResidential,0.194,0.194,0.9913,0.995636,0.193548
Bus,0.167,0.167,0.991,0.99549,0.166667
Car,0.557,0.557,0.9952,0.997604,0.55719
Cellphone,0.323,0.323,0.9927,0.996337,0.323232
Chess,0.547,0.547,0.9951,0.99755,0.547222
City,0.231,0.231,0.9917,0.995841,0.231481
ClassicPiano,0.13,0.13,0.9906,0.99529,0.12963
Computer,0.283,0.283,0.9923,0.996121,0.283333
ComputerKeyboard,0.25,0.25,0.9919,0.995941,0.25
Cup,0.317,0.317,0.9926,0.996303,0.316872
DeskLamp,0.227,0.227,0.9917,0.995818,0.227273
DeskPhone,0.269,0.269,0.9921,0.996044,0.269006
Door,0.375,0.375,0.9933,0.996618,0.375
Drum,0.111,0.111,0.9904,0.995189,0.111111
Fish,0.111,0.111,0.9904,0.995189,0.111111
FloorLamp,0.13,0.13,0.9906,0.99529,0.12963
Glasses,0.415,0.415,0.9937,0.996833,0.414815
Guitar,0.222,0.222,0.9916,0.995791,0.222222
Gun,0.288,0.288,0.9923,0.996146,0.287879
Hand,0.471,0.471,0.9943,0.99714,0.471471
Hat,0.182,0.182,0.9912,0.995572,0.181818
Helicopter,0.398,0.398,0.9935,0.996743,0.398148
House,0.179,0.179,0.9912,0.995555,0.178744
HumanHead,0.487,0.487,0.9945,0.997225,0.487179
Humanoid,0.62,0.62,0.9959,0.997944,0.620106
Insect,0.298,0.298,0.9924,0.996203,0.298475
Jet,0.507,0.507,0.9947,0.997332,0.507092
Knife,0.159,0.159,0.9909,0.995447,0.15873
MilitaryVehicle,0.304,0.304,0.9925,0.996232,0.303704
Monitor,0.265,0.265,0.9921,0.996022,0.264957
Monoplane,0.208,0.208,0.9915,0.995716,0.208333
Motorcycle,0.384,0.384,0.9934,0.996665,0.383838
Mug,0.339,0.339,0.9929,0.996422,0.338889
MultiSeat,0.347,0.347,0.993,0.996465,0.346883
Musical_Instrument,0.215,0.215,0.9915,0.995751,0.214815
NonWheelChair,0.427,0.427,0.9938,0.9969,0.42716
PianoBoard,0.148,0.148,0.9908,0.99539,0.148148
PlantIndoors,0.314,0.314,0.9926,0.996285,0.31358
PlantWildNonTree,0.146,0.146,0.9908,0.995377,0.145833
Quadruped,0.36,0.36,0.9931,0.996539,0.360434
RectangleTable,0.373,0.373,0.9932,0.996606,0.37284
Rocket,0.178,0.178,0.9911,0.99555,0.177778
RoundTable,0.226,0.226,0.9917,0.995813,0.226337
Shelf,0.214,0.214,0.9915,0.995746,0.213992
Ship,0.233,0.233,0.9917,0.995851,0.233333
Sign,0.133,0.133,0.9907,0.99531,0.133333
Skyscraper,0.167,0.167,0.991,0.99549,0.166667
Spoon,0.111,0.111,0.9904,0.995189,0.111111
Starship,0.167,0.167,0.991,0.99549,0.166667
SubmachineGun,0.182,0.182,0.9912,0.995572,0.181818
Sword,0.667,0.667,0.9964,0.998196,0.666667
Tool,0.53,0.53,0.9949,0.997456,0.529915
Train,0.185,0.185,0.9912,0.99559,0.185185
Tree,0.187,0.187,0.9912,0.995601,0.187135
Truck,0.163,0.163,0.991,0.99547,0.162963
TruckNonContainer,0.222,0.222,0.9916,0.995791,0.222222
Vase,0.17,0.17,0.9911,0.995508,0.169935
Violin,0.139,0.139,0.9907,0.99534,0.138889
Wheel,0.163,0.163,0.991,0.99547,0.162963
WheelChair,0.222,0.222,0.9916,0.995791,0.222222
total,0.349,0.349,0.993,0.996477,0.34895
