shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.117,0.117,0.9894,0.994685,0.116667
Apartment,0.15,0.15,0.9898,0.994886,0.15
AquaticAnimal,0.25,0.25,0.991,0.995487,0.25
Bed,0.291,0.291,0.9915,0.995734,0.290909
Bicycle,0.59,0.59,0.9951,0.997533,0.59
Biplane,0.297,0.297,0.9916,0.995771,0.297143
Bird,0.272,0.272,0.9913,0.995619,0.271875
Bottle,0.171,0.171,0.9901,0.995015,0.171429
BuildingNonResidential,0.181,0.181,0.9902,0.99507,0.180645
Bus,0.15,0.15,0.9898,0.994886,0.15
Car,0.54,0.54,0.9945,0.99723,0.539706
Cellphone,0.309,0.309,0.9917,0.995843,0.309091
Chess,0.517,0.517,0.9942,0.997097,0.5175
City,0.208,0.208,0.9905,0.995237,0.208333
ClassicPiano,0.117,0.117,0.9894,0.994685,0.116667
Computer,0.255,0.255,0.9911,0.995517,0.255
ComputerKeyboard,0.225,0.225,0.9907,0.995337,0.225
Cup,0.315,0.315,0.9918,0.995877,0.314815
DeskLamp,0.209,0.209,0.9905,0.995241,0.209091
DeskPhone,0.247,0.247,0.991,0.995472,0.247368
Door,0.347,0.347,0.9922,0.99607,0.346875
Drum,0.1,0.1,0.9892,0.994585,0.1
Fish,0.1,0.1,0.9892,0.994585,0.1
FloorLamp,0.117,0.117,0.9894,0.994685,0.116667
Glasses,0.407,0.407,0.9929,0.99643,0.406667
Guitar,0.207,0.207,0.9905,0.995229,0.207143
Gun,0.268,0.268,0.9912,0.995597,0.268182
Hand,0.449,0.449,0.9934,0.996683,0.448649
Hat,0.164,0.164,0.99,0.994968,0.163636
Helicopter,0.381,0.381,0.9926,0.996273,0.380556
House,0.17,0.17,0.9901,0.995003,0.169565
HumanHead,0.469,0.469,0.9937,0.996806,0.469231
Humanoid,0.603,0.603,0.9952,0.99761,0.602857
Insect,0.3,0.3,0.9916,0.995788,0.3
Jet,0.5,0.5,0.994,0.996992,0.5
Knife,0.143,0.143,0.9897,0.994843,0.142857
MilitaryVehicle,0.287,0.287,0.9915,0.995708,0.286667
Monitor,0.262,0.262,0.9912,0.995557,0.261538
Monoplane,0.2,0.2,0.9904,0.995187,0.2
Motorcycle,0.359,0.359,0.9923,0.996144,0.359091
Mug,0.325,0.325,0.9919,0.995939,0.325
MultiSeat,0.344,0.344,0.9922,0.996052,0.343902
Musical_Instrument,0.2,0.2,0.9904,0.995187,0.2
NonWheelChair,0.402,0.402,0.9928,0.996403,0.402222
PianoBoard,0.133,0.133,0.9896,0.994785,0.133333
PlantIndoors,0.289,0.289,0.9915,0.995721,0.288889
PlantWildNonTree,0.138,0.138,0.9897,0.99481,0.1375
Quadruped,0.341,0.341,0.9921,0.996038,0.341463
RectangleTable,0.351,0.351,0.9922,0.996096,0.351111
Rocket,0.167,0.167,0.99,0.994986,0.166667
RoundTable,0.226,0.226,0.9907,0.995343,0.225926
Shelf,0.207,0.207,0.9905,0.995231,0.207407
Ship,0.22,0.22,0.9907,0.995307,0.22
Sign,0.12,0.12,0.9895,0.994705,0.12
Skyscraper,0.161,0.161,0.99,0.994953,0.161111
Spoon,0.1,0.1,0.9892,0.994585,0.1
Starship,0.15,0.15,0.9898,0.994886,0.15
SubmachineGun,0.182,0.182,0.9902,0.995077,0.181818
Sword,0.654,0.654,0.9959,0.997916,0.653659
Tool,0.518,0.518,0.9942,0.9971,0.517949
Train,0.167,0.167,0.99,0.994986,0.166667
Tree,0.174,0.174,0.9901,0.995028,0.173684
Truck,0.153,0.153,0.9899,0.994906,0.153333
TruckNonContainer,0.2,0.2,0.9904,0.995187,0.2
Vase,0.153,0.153,0.9899,0.994903,0.152941
Violin,0.125,0.125,0.9895,0.994735,0.125
Wheel,0.147,0.147,0.9898,0.994866,0.146667
WheelChair,0.217,0.217,0.9906,0.995287,0.216667
total,0.334,0.334,0.992,0.995992,0.333911
