shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.194,0.194,0.9942,0.997099,0.194444
Apartment,0.213,0.213,0.9944,0.997166,0.212963
AquaticAnimal,0.354,0.354,0.9954,0.997674,0.354167
Bed,0.386,0.386,0.9956,0.99779,0.386364
Bicycle,0.7,0.7,0.9978,0.99892,0.7
Biplane,0.39,0.39,0.9956,0.997805,0.390476
Bird,0.375,0.375,0.9955,0.997749,0.375
Bottle,0.238,0.238,0.9945,0.997256,0.238095
BuildingNonResidential,0.263,0.263,0.9947,0.997347,0.263441
Bus,0.208,0.208,0.9943,0.997149,0.208333
Car,0.608,0.608,0.9972,0.998588,0.607843
Cellphone,0.47,0.47,0.9962,0.99809,0.469697
Chess,0.629,0.629,0.9973,0.998664,0.629167
City,0.333,0.333,0.9952,0.997599,0.333333
ClassicPiano,0.167,0.167,0.994,0.996999,0.166667
Computer,0.4,0.4,0.9957,0.997839,0.4
ComputerKeyboard,0.333,0.333,0.9952,0.997599,0.333333
Cup,0.414,0.414,0.9958,0.997888,0.41358
DeskLamp,0.311,0.311,0.9951,0.997517,0.310606
DeskPhone,0.325,0.325,0.9952,0.997567,0.324561
Door,0.458,0.458,0.9961,0.998049,0.458333
Drum,0.167,0.167,0.994,0.996999,0.166667
Fish,0.167,0.167,0.994,0.996999,0.166667
FloorLamp,0.194,0.194,0.9942,0.997099,0.194444
Glasses,0.589,0.589,0.997,0.998519,0.588889
Guitar,0.286,0.286,0.9949,0.997428,0.285714
Gun,0.345,0.345,0.9953,0.99764,0.344697
Hand,0.563,0.563,0.9969,0.998426,0.563063
Hat,0.227,0.227,0.9945,0.997217,0.227273
Helicopter,0.463,0.463,0.9961,0.998066,0.462963
House,0.254,0.254,0.9946,0.997312,0.253623
HumanHead,0.596,0.596,0.9971,0.998546,0.596154
Humanoid,0.667,0.667,0.9976,0.9988,0.666667
Insect,0.366,0.366,0.9954,0.997717,0.366013
Jet,0.566,0.566,0.9969,0.998436,0.565603
Knife,0.238,0.238,0.9945,0.997256,0.238095
MilitaryVehicle,0.389,0.389,0.9956,0.997799,0.388889
Monitor,0.321,0.321,0.9951,0.997553,0.320513
Monoplane,0.25,0.25,0.9946,0.997299,0.25
Motorcycle,0.485,0.485,0.9963,0.998145,0.484848
Mug,0.425,0.425,0.9959,0.997929,0.425
MultiSeat,0.411,0.411,0.9958,0.997877,0.410569
Musical_Instrument,0.256,0.256,0.9947,0.997319,0.255556
NonWheelChair,0.474,0.474,0.9962,0.998106,0.474074
PianoBoard,0.167,0.167,0.994,0.996999,0.166667
PlantIndoors,0.37,0.37,0.9955,0.997732,0.37037
PlantWildNonTree,0.219,0.219,0.9944,0.997186,0.21875
Quadruped,0.415,0.415,0.9958,0.997892,0.414634
RectangleTable,0.47,0.47,0.9962,0.998093,0.47037
Rocket,0.256,0.256,0.9947,0.997319,0.255556
RoundTable,0.284,0.284,0.9949,0.997421,0.283951
Shelf,0.272,0.272,0.9948,0.997377,0.271605
Ship,0.304,0.304,0.995,0.997494,0.304167
Sign,0.2,0.2,0.9943,0.997119,0.2
Skyscraper,0.231,0.231,0.9945,0.997232,0.231481
Spoon,0.167,0.167,0.994,0.996999,0.166667
Starship,0.242,0.242,0.9946,0.997272,0.242424
SubmachineGun,0.258,0.258,0.9947,0.997326,0.257576
Sword,0.687,0.687,0.9978,0.998873,0.686992
Tool,0.594,0.594,0.9971,0.998538,0.594017
Train,0.259,0.259,0.9947,0.997332,0.259259
Tree,0.254,0.254,0.9946,0.997315,0.254386
Truck,0.233,0.233,0.9945,0.997239,0.233333
TruckNonContainer,0.283,0.283,0.9949,0.997419,0.283333
Vase,0.206,0.206,0.9943,0.99714,0.205882
Violin,0.208,0.208,0.9943,0.997149,0.208333
Wheel,0.233,0.233,0.9945,0.997239,0.233333
WheelChair,0.292,0.292,0.9949,0.997449,0.291667
total,0.417,0.417,0.9958,0.9979,0.416966
