shapeclass,precision,recall,accuracy,specificity,sensitivity
AircraftBuoyant,0.167,0.167,0.993,0.996496,0.166667
Apartment,0.19,0.19,0.9932,0.996597,0.190476
AquaticAnimal,0.312,0.312,0.9942,0.99711,0.3125
Bed,0.357,0.357,0.9946,0.997297,0.357143
Bicycle,0.671,0.671,0.9972,0.998619,0.671429
Biplane,0.363,0.363,0.9947,0.997323,0.363265
Bird,0.335,0.335,0.9944,0.997203,0.334821
Bottle,0.211,0.211,0.9934,0.996682,0.210884
BuildingNonResidential,0.24,0.24,0.9936,0.996803,0.239631
Bus,0.19,0.19,0.9932,0.996597,0.190476
Car,0.592,0.592,0.9966,0.998287,0.592437
Cellphone,0.403,0.403,0.995,0.997488,0.402597
Chess,0.6,0.6,0.9967,0.998318,0.6
City,0.286,0.286,0.994,0.996997,0.285714
ClassicPiano,0.143,0.143,0.9928,0.996396,0.142857
Computer,0.357,0.357,0.9946,0.997297,0.357143
ComputerKeyboard,0.286,0.286,0.994,0.996997,0.285714
Cup,0.365,0.365,0.9947,0.997331,0.365079
DeskLamp,0.273,0.273,0.9939,0.996942,0.272727
DeskPhone,0.308,0.308,0.9942,0.997092,0.308271
Door,0.438,0.438,0.9953,0.997635,0.4375
Drum,0.143,0.143,0.9928,0.996396,0.142857
Fish,0.143,0.143,0.9928,0.996396,0.142857
FloorLamp,0.167,0.167,0.993,0.996496,0.166667
Glasses,0.514,0.514,0.9959,0.997958,0.514286
Guitar,0.265,0.265,0.9938,0.996911,0.265306
Gun,0.321,0.321,0.9943,0.997147,0.321429
Hand,0.517,0.517,0.996,0.997971,0.517375
Hat,0.208,0.208,0.9934,0.996669,0.207792
Helicopter,0.429,0.429,0.9952,0.997598,0.428571
House,0.217,0.217,0.9934,0.99671,0.217391
HumanHead,0.56,0.56,0.9963,0.998152,0.56044
Humanoid,0.642,0.642,0.997,0.998496,0.642177
Insect,0.339,0.339,0.9945,0.997221,0.338936
Jet,0.536,0.536,0.9961,0.998051,0.536474
Knife,0.204,0.204,0.9933,0.996654,0.204082
MilitaryVehicle,0.362,0.362,0.9947,0.997317,0.361905
Monitor,0.308,0.308,0.9942,0.997089,0.307692
Monoplane,0.223,0.223,0.9935,0.996734,0.223214
Motorcycle,0.455,0.455,0.9954,0.997707,0.454545
Mug,0.393,0.393,0.9949,0.997447,0.392857
MultiSeat,0.39,0.39,0.9949,0.997436,0.390244
Musical_Instrument,0.248,0.248,0.9937,0.996837,0.247619
NonWheelChair,0.457,0.457,0.9955,0.997718,0.457143
PianoBoard,0.19,0.19,0.9932,0.996597,0.190476
PlantIndoors,0.333,0.333,0.9944,0.997197,0.333333
PlantWildNonTree,0.188,0.188,0.9932,0.996584,0.1875
Quadruped,0.397,0.397,0.995,0.997466,0.397213
RectangleTable,0.438,0.438,0.9953,0.997638,0.438095
Rocket,0.219,0.219,0.9935,0.996717,0.219048
RoundTable,0.254,0.254,0.9938,0.996864,0.253968
Shelf,0.238,0.238,0.9936,0.996797,0.238095
Ship,0.279,0.279,0.994,0.996967,0.278571
Sign,0.171,0.171,0.9931,0.996517,0.171429
Skyscraper,0.206,0.206,0.9934,0.996663,0.206349
Spoon,0.143,0.143,0.9928,0.996396,0.142857
Starship,0.208,0.208,0.9934,0.996669,0.207792
SubmachineGun,0.234,0.234,0.9936,0.996779,0.233766
Sword,0.683,0.683,0.9973,0.998667,0.682927
Tool,0.568,0.568,0.9964,0.998183,0.567766
Train,0.23,0.23,0.9936,0.996763,0.230159
Tree,0.226,0.226,0.9935,0.996744,0.225564
Truck,0.21,0.21,0.9934,0.996677,0.209524
TruckNonContainer,0.257,0.257,0.9938,0.996877,0.257143
Vase,0.176,0.176,0.9931,0.996538,0.176471
Violin,0.179,0.179,0.9931,0.996547,0.178571
Wheel,0.2,0.2,0.9933,0.996637,0.2
WheelChair,0.25,0.25,0.9937,0.996847,0.25
total,0.389,0.389,0.9949,0.99743,0.388756
